piratesofersatz_01_leinster_64kb_f000001|The pirates of ersatz by Murray Leinster. Chapter 1.|The pirates of ersatz by Murray Leinster. Chapter one.
piratesofersatz_03_leinster_64kb_f000145|But one knew that it was going on to Lohala and Tralee and Famagusta and the Coalsack Stars.|But one knew that it was going on to Lohala and Tralee and Famagusta and the Coalsack Stars.
piratesofersatz_03_leinster_64kb_f000146|Hoddan shrugged and began to trudge toward the warehouses. The durya-drawn landing ramp began to roll slowly in the same direction.|Hoddan shrugged and began to trudge toward the warehouses. The durya-drawn landing ramp began to roll slowly in the same direction.
piratesofersatz_03_leinster_64kb_f000147|Carts and wagons loaded the stuff discharged from the ship. Creaking, plodding, with the curved horns of the duryas rising and falling, the wagons overtook Hoddan and passed him.|Carts and wagons loaded the stuff discharged from the ship. Creaking, plodding, with the curved horns of the duryas rising and falling, the wagons overtook Hoddan and passed him.
piratesofersatz_03_leinster_64kb_f000148|He saw his ship bag on one of the carts. It was a gift from the Interstellar Ambassador on Walden. He'd assured Hoddan that there was a fund for the assistance of political refugees,|He saw his ship bag on one of the carts. It was a gift from the Interstellar Ambassador on Walden. He'd assured Hoddan that there was a fund for the assistance of political refugees,
piratesofersatz_03_leinster_64kb_f000149|and that the bag and its contents was normal.|and that the bag and its contents was normal.
piratesofersatz_03_leinster_64kb_f000150|But in addition to the gift-clothing, Hoddan had a number of stun-pistols, formerly equipment of the police department of Walden's capital city.|But in addition to the gift-clothing, Hoddan had a number of stun-pistols, formerly equipment of the police department of Walden's capital city.
piratesofersatz_03_leinster_64kb_f000151|He followed his bag to a warehouse. Arrived there, he found the bag surrounded by a group of whiskered or mustachioed Darthian characters wearing felt pants and large sheath-knives.|He followed his bag to a warehouse. Arrived there, he found the bag surrounded by a group of whiskered or mustachioed Darthian characters wearing felt pants and large sheath-knives.
piratesofersatz_03_leinster_64kb_f000152|They had opened the bag and were in the act of ferocious dispute about who should get what of its contents. Incidentally they argued over the stun-pistols,|They had opened the bag and were in the act of ferocious dispute about who should get what of its contents. Incidentally they argued over the stun-pistols,
piratesofersatz_03_leinster_64kb_f000153|which looked like weapons but weren't because nothing happened when one pulled the trigger.|which looked like weapons but weren't because nothing happened when one pulled the trigger.
piratesofersatz_03_leinster_64kb_f000154|Hoddan grimaced. They'd been in store on the liner during the voyage. Normally they picked up a trickle charge from broadcast power, on Walden,|Hoddan grimaced. They'd been in store on the liner during the voyage. Normally they picked up a trickle charge from broadcast power, on Walden,
piratesofersatz_03_leinster_64kb_f000155|but there was no broadcast power on the liner, nor any on Darth.|but there was no broadcast power on the liner, nor any on Darth.
piratesofersatz_03_leinster_64kb_f000156|They'd leaked their charges and were quite useless. The one in his pocket would be useless, too.|They'd leaked their charges and were quite useless. The one in his pocket would be useless, too.
piratesofersatz_03_leinster_64kb_f000157|He grimaced again and swerved to the building where the landing grid controls must be. He opened the door and went in. The interior was smoky and ill-smelling,|He grimaced again and swerved to the building where the landing grid controls must be. He opened the door and went in. The interior was smoky and ill-smelling,
piratesofersatz_03_leinster_64kb_f000158|but the equipment was wholly familiar.|but the equipment was wholly familiar.
piratesofersatz_03_leinster_64kb_f000159|Two unshaven men — in violently colored shirts — languidly played cards. Only one, a redhead, paid attention to the controls of the landing grid.|Two unshaven men - in violently colored shirts - languidly played cards. Only one, a redhead, paid attention to the controls of the landing grid.
piratesofersatz_03_leinster_64kb_f000160|He watched dials. As Hoddan pushed his way in, he threw a switch and yawned. The ship was five diameters out from Darth, and he'd released it from the landing grid fields. He turned and saw Hoddan.|He watched dials. As Hoddan pushed his way in, he threw a switch and yawned. The ship was five diameters out from Darth, and he'd released it from the landing grid fields. He turned and saw Hoddan.
piratesofersatz_03_leinster_64kb_f000161|What the hell do you want? he demanded sharply.|What the hell do you want? he demanded sharply.
piratesofersatz_03_leinster_64kb_f000162|A few kilowatts, said Hoddan. The redhead's manner was not amiable.|A few kilowatts, said Hoddan. The redhead's manner was not amiable.
piratesofersatz_03_leinster_64kb_f000163|Get outta here! he barked.|Get outta here! he barked.
piratesofersatz_03_leinster_64kb_f000164|The transformers and snaky cables leading to relays outside — all were clear as print to Hoddan. He moved confidently toward an especially understandable panel,|The transformers and snaky cables leading to relays outside - all were clear as print to Hoddan. He moved confidently toward an especially understandable panel,
piratesofersatz_03_leinster_64kb_f000165|pulling out his stun-pistol and briskly breaking back the butt for charging.|pulling out his stun-pistol and briskly breaking back the butt for charging.
piratesofersatz_03_leinster_64kb_f000166|He shoved the pistol butt to contact with two terminals devised for another purpose, and the pistol slipped for an instant and a blue spark flared.|He shoved the pistol butt to contact with two terminals devised for another purpose, and the pistol slipped for an instant and a blue spark flared.
piratesofersatz_03_leinster_64kb_f000167|Quit that! roared the red-headed man. The unshaven men pushed back from their game of cards. One of them stood up, smiling unpleasantly.|Quit that! roared the red-headed man. The unshaven men pushed back from their game of cards. One of them stood up, smiling unpleasantly.
piratesofersatz_03_leinster_64kb_f000168|The stun-pistol clicked. Hoddan withdrew it from charging-contact, flipped the butt shut, and turned toward the three men.|The stun-pistol clicked. Hoddan withdrew it from charging-contact, flipped the butt shut, and turned toward the three men.
piratesofersatz_03_leinster_64kb_f000169|Two of them charged him suddenly — the redhead and the unpleasant smiler.|Two of them charged him suddenly - the redhead and the unpleasant smiler.
piratesofersatz_03_leinster_64kb_f000170|The stun-pistol hummed. The redhead howled. He'd been hit in the hand. His unshaven companion buckled in the middle and fell to the floor.|The stun-pistol hummed. The redhead howled. He'd been hit in the hand. His unshaven companion buckled in the middle and fell to the floor.
piratesofersatz_03_leinster_64kb_f000171|The third man backed away in panic, automatically raising his arms in surrender.|The third man backed away in panic, automatically raising his arms in surrender.
piratesofersatz_03_leinster_64kb_f000172|Hoddan saw no need for further action. He nodded graciously and went out of the control building, swinging the recharged pistol in his hand.|Hoddan saw no need for further action. He nodded graciously and went out of the control building, swinging the recharged pistol in his hand.
piratesofersatz_03_leinster_64kb_f000173|In the warehouse, argument still raged over his possessions. He went in, briskly. Nobody looked at him. The casual appropriation of unguarded property was apparently a social norm, here.|In the warehouse, argument still raged over his possessions. He went in, briskly. Nobody looked at him. The casual appropriation of unguarded property was apparently a social norm, here.
piratesofersatz_03_leinster_64kb_f000174|The man in the purple cloak was insisting furiously that he was a Darthian gentleman and he'd have his share or elseThose things, said Hoddan, are mine. Put them back.|The man in the purple cloak was insisting furiously that he was a Darthian gentleman and he'd have his share or elseThose things, said Hoddan, are mine. Put them back.
piratesofersatz_03_leinster_64kb_f000175|Faces turned to him, expressing shocked surprise. A man in dirty yellow pants stood up with a suit of Hoddan's underwear and a pair of shoes.|Faces turned to him, expressing shocked surprise. A man in dirty yellow pants stood up with a suit of Hoddan's underwear and a pair of shoes.
piratesofersatz_03_leinster_64kb_f000176|He moved with great dignity to depart.|He moved with great dignity to depart.
piratesofersatz_03_leinster_64kb_f000177|The stun-pistol buzzed. He leaped and howled and fled. Hoddan had aimed accurately enough, but prudence suggested that if he appeared to kill anybody,|The stun-pistol buzzed. He leaped and howled and fled. Hoddan had aimed accurately enough, but prudence suggested that if he appeared to kill anybody,
piratesofersatz_03_leinster_64kb_f000178|the matter might become serious.|the matter might become serious.
piratesofersatz_03_leinster_64kb_f000179|So he'd fired to sting the man with a stun-pistol bolt at about the same spot where, on Walden, he'd scorched members of a party of police in ambush.|So he'd fired to sting the man with a stun-pistol bolt at about the same spot where, on Walden, he'd scorched members of a party of police in ambush.
piratesofersatz_03_leinster_64kb_f000180|It was nice shooting. But this happened to be a time and place where prudence did not pay.|It was nice shooting. But this happened to be a time and place where prudence did not pay.
piratesofersatz_03_leinster_64kb_f000181|There was a concerted gasp of outrage. Men leaped to their feet. Large knives came out of elaborate holsters. Figures in all the colors of the rainbow — all badly soiled — roared their indignation and charged at Hoddan.|There was a concerted gasp of outrage. Men leaped to their feet. Large knives came out of elaborate holsters. Figures in all the colors of the rainbow - all badly soiled - roared their indignation and charged at Hoddan.
piratesofersatz_03_leinster_64kb_f000182|They waved knives as they came.|They waved knives as they came.
piratesofersatz_03_leinster_64kb_f000183|He held down the stun-pistol trigger and traversed the rushing men. The whining buzz of the weapon was inaudible, at first, but before he released the trigger it was plainly to be heard.|He held down the stun-pistol trigger and traversed the rushing men. The whining buzz of the weapon was inaudible, at first, but before he released the trigger it was plainly to be heard.
piratesofersatz_03_leinster_64kb_f000184|Then there was silence. His attackers formed a very untidy heap on the floor. They breathed stertorously. Hoddan began to retrieve his possessions.|Then there was silence. His attackers formed a very untidy heap on the floor. They breathed stertorously. Hoddan began to retrieve his possessions.
piratesofersatz_03_leinster_64kb_f000185|He rolled a man over, for the purpose.|He rolled a man over, for the purpose.
piratesofersatz_03_leinster_64kb_f000186|A pair of very blue, apprehensive eyes stared at him. Their owner had stumbled over one man and been stumbled over by others. He gazed up at Hoddan, speechless.|A pair of very blue, apprehensive eyes stared at him. Their owner had stumbled over one man and been stumbled over by others. He gazed up at Hoddan, speechless.
piratesofersatz_03_leinster_64kb_f000187|Hand me that, please, said Hoddan. He pointed.|Hand me that, please, said Hoddan. He pointed.
piratesofersatz_03_leinster_64kb_f000188|The man in the purple cloak obeyed, shaking. Hoddan completed the recovery of all his belongings. He turned. The man in the purple cloak winced and closed his eyes.|The man in the purple cloak obeyed, shaking. Hoddan completed the recovery of all his belongings. He turned. The man in the purple cloak winced and closed his eyes.
piratesofersatz_03_leinster_64kb_f000189|Hm-m-m, said Hoddan. He needed information. He wasn't likely to get it from the men in the grid's control room. He would hardly be popular with any of these, either.|Hm-m-m, said Hoddan. He needed information. He wasn't likely to get it from the men in the grid's control room. He would hardly be popular with any of these, either.
piratesofersatz_03_leinster_64kb_f000190|He irritably suspected himself of a tendency to make enemies unnecessarily. But he did need directions. He said: I have a letter of introduction to one Don Loris,|He irritably suspected himself of a tendency to make enemies unnecessarily. But he did need directions. He said: I have a letter of introduction to one Don Loris,
piratesofersatz_03_leinster_64kb_f000191|prince of something-or-other, lord of this, baron of that, and claimant to the dukedom of the other thing.|prince of something-or-other, lord of this, baron of that, and claimant to the dukedom of the other thing.
piratesofersatz_03_leinster_64kb_f000192|Would you have any idea how I could reach him?|Would you have any idea how I could reach him?
piratesofersatz_03_leinster_64kb_f000193|The man in the purple cloak gaped at Hoddan.|The man in the purple cloak gaped at Hoddan.
piratesofersatz_03_leinster_64kb_f000194|He is. my chieftain, he said, aghast. I. am Thal, his most trusted retainer. Then he practically wailed, You must be the man I was sent to meet!|He is. my chieftain, he said, aghast. I. am Thal, his most trusted retainer. Then he practically wailed, You must be the man I was sent to meet!
piratesofersatz_03_leinster_64kb_f000195|He sent me to learn if you came on the ship! I should have fought by your side! This is disgrace!|He sent me to learn if you came on the ship! I should have fought by your side! This is disgrace!
piratesofersatz_03_leinster_64kb_f000196|It's disgraceful, agreed Hoddan grimly. But he, who had been born and raised in a space-pirate community, should not be too critical of others. Let it go. How do I find him?|It's disgraceful, agreed Hoddan grimly. But he, who had been born and raised in a space-pirate community, should not be too critical of others. Let it go. How do I find him?
piratesofersatz_03_leinster_64kb_f000197|I should take you! complained Thal bitterly. But you have killed all these men. Their friends and chieftains are honor bound to cut your throat!|I should take you! complained Thal bitterly. But you have killed all these men. Their friends and chieftains are honor bound to cut your throat!
piratesofersatz_03_leinster_64kb_f000198|And you shot Merk, but he ran away, and he will be summoning his friends to come and kill you now! This is shame! This is — Then he said hopefully: Your strange weapon!|And you shot Merk, but he ran away, and he will be summoning his friends to come and kill you now! This is shame! This is - Then he said hopefully: Your strange weapon!
piratesofersatz_03_leinster_64kb_f000199|How many men can you fight? If fifty, we may live to ride away.|How many men can you fight? If fifty, we may live to ride away.
piratesofersatz_03_leinster_64kb_f000200|If more, we may even reach Don Loris' castle. How many?|If more, we may even reach Don Loris' castle. How many?
piratesofersatz_03_leinster_64kb_f000201|We'll see what we see, said Hoddan dourly. But I'd better charge these other pistols. You can come with me, or wait. I haven't killed these men.|We'll see what we see, said Hoddan dourly. But I'd better charge these other pistols. You can come with me, or wait. I haven't killed these men.
piratesofersatz_03_leinster_64kb_f000202|They're only stunned. They'll come around presently.|They're only stunned. They'll come around presently.
piratesofersatz_03_leinster_64kb_f000203|He went out of the warehouse, carrying the bag which was again loaded with uncharged stun-pistols. He went back to the grid's control room.|He went out of the warehouse, carrying the bag which was again loaded with uncharged stun-pistols. He went back to the grid's control room.
piratesofersatz_03_leinster_64kb_f000204|He pushed it open and entered for the second time. The red-headed man swore and rubbed at his hand. The man who'd smiled unpleasantly lay in a heap on the floor.|He pushed it open and entered for the second time. The red-headed man swore and rubbed at his hand. The man who'd smiled unpleasantly lay in a heap on the floor.
piratesofersatz_03_leinster_64kb_f000205|The second unshaven man jittered visibly at sight of Hoddan.|The second unshaven man jittered visibly at sight of Hoddan.
piratesofersatz_03_leinster_64kb_f000206|I'm back, said Hoddan politely, for more kilowatts.|I'm back, said Hoddan politely, for more kilowatts.
piratesofersatz_03_leinster_64kb_f000207|He put his bag conveniently close to the terminals at which his pistols could be recharged. He snapped open a pistol butt and presented it to the electric contacts.|He put his bag conveniently close to the terminals at which his pistols could be recharged. He snapped open a pistol butt and presented it to the electric contacts.
piratesofersatz_03_leinster_64kb_f000208|Quaint customs you have here, he said conversationally. Robbing a newcomer. Resenting his need for a few watts of power that comes free from the sky.|Quaint customs you have here, he said conversationally. Robbing a newcomer. Resenting his need for a few watts of power that comes free from the sky.
piratesofersatz_03_leinster_64kb_f000209|The stun-pistol clicked. He snapped the butt shut and opened another, which he placed in contact for charging. Making him act, he said acidly,|The stun-pistol clicked. He snapped the butt shut and opened another, which he placed in contact for charging. Making him act, he said acidly,
piratesofersatz_03_leinster_64kb_f000210|with manners as bad as the local ones.|with manners as bad as the local ones.
piratesofersatz_03_leinster_64kb_f000211|Going at him with knives so he has to be resentful in his turn. The second stun-pistol clicked. He closed it and began to charge a third.|Going at him with knives so he has to be resentful in his turn. The second stun-pistol clicked. He closed it and began to charge a third.
piratesofersatz_03_leinster_64kb_f000212|He said severely: Innocent tourists — relatively innocent ones, anyhow — are not likely to be favorably impressed with Darth! He had the charging process going swiftly now.|He said severely: Innocent tourists - relatively innocent ones, anyhow - are not likely to be favorably impressed with Darth! He had the charging process going swiftly now.
piratesofersatz_03_leinster_64kb_f000213|He began to charge a fourth weapon. It's particularly bad manners, he added sternly, to stand there grinding your teeth at me while your friend behind the desk crawls after an old-fashioned chemical gun to shoot me with.|He began to charge a fourth weapon. It's particularly bad manners, he added sternly, to stand there grinding your teeth at me while your friend behind the desk crawls after an old-fashioned chemical gun to shoot me with.
piratesofersatz_03_leinster_64kb_f000214|He snapped the fourth pistol shut and went after the man who'd dropped down behind a desk. He came upon that man, hopelessly panicked, just as his hands closed on a clumsy gun that was supposed to set off a chemical explosive to propel a metal bullet.|He snapped the fourth pistol shut and went after the man who'd dropped down behind a desk. He came upon that man, hopelessly panicked, just as his hands closed on a clumsy gun that was supposed to set off a chemical explosive to propel a metal bullet.
piratesofersatz_03_leinster_64kb_f000215|Don't! said Hoddan severely. If I have to shoot you at this range, you'll have blisters!|Don't! said Hoddan severely. If I have to shoot you at this range, you'll have blisters!
piratesofersatz_03_leinster_64kb_f000216|He took the weapon out of the other man's hands. He went back and finished charging the rest of the pistols.|He took the weapon out of the other man's hands. He went back and finished charging the rest of the pistols.
piratesofersatz_03_leinster_64kb_f000217|He returned most of them to his bag, though he stuck others in his belt and pockets to the point where he looked like the fiction-tape pictures of space pirates.|He returned most of them to his bag, though he stuck others in his belt and pockets to the point where he looked like the fiction-tape pictures of space pirates.
piratesofersatz_03_leinster_64kb_f000218|But he knew what space pirates were actually like. He moved to the door. As a last thought, he picked up the bullet-firing weapon.|But he knew what space pirates were actually like. He moved to the door. As a last thought, he picked up the bullet-firing weapon.
piratesofersatz_03_leinster_64kb_f000219|There's only one spaceship here a month, he observed politely, so I'll be around. If you want to get in touch with me, ask Don Loris.|There's only one spaceship here a month, he observed politely, so I'll be around. If you want to get in touch with me, ask Don Loris.
piratesofersatz_03_leinster_64kb_f000220|I'm going to visit him while I look over professional opportunities on Darth.|I'm going to visit him while I look over professional opportunities on Darth.
piratesofersatz_03_leinster_64kb_f000221|He went out once more. Somehow he felt more cheerful than a half-hour since, when he'd landed as the only passenger from the space liner.|He went out once more. Somehow he felt more cheerful than a half-hour since, when he'd landed as the only passenger from the space liner.
piratesofersatz_03_leinster_64kb_f000222|Then he'd felt ignored and lonely and friendless on a strange and primitive world. He still had no friends, but he had already acquired some enemies and therefore material for more or less worthwhile achievement.|Then he'd felt ignored and lonely and friendless on a strange and primitive world. He still had no friends, but he had already acquired some enemies and therefore material for more or less worthwhile achievement.
piratesofersatz_03_leinster_64kb_f000223|He surveyed the sunlit scene about him from the control-room door.|He surveyed the sunlit scene about him from the control-room door.
piratesofersatz_03_leinster_64kb_f000224|Thal, the purple-cloaked man, had brought two shaggy-haired animals around to the door of the warehouse. Hoddan later learned that they were horses.|Thal, the purple-cloaked man, had brought two shaggy-haired animals around to the door of the warehouse. Hoddan later learned that they were horses.
piratesofersatz_03_leinster_64kb_f000225|He was frenziedly in the act of mounting one of them. As he climbed up, small bright metal disks cascaded from a pocket. He tried to stop the flow of money as he got feverishly into the saddle.|He was frenziedly in the act of mounting one of them. As he climbed up, small bright metal disks cascaded from a pocket. He tried to stop the flow of money as he got feverishly into the saddle.
piratesofersatz_03_leinster_64kb_f000226|From the gable-roofed small town a mob of some thirty mounted men plunged toward the landing grid. They wore garments of yellow and blue and magenta.|From the gable-roofed small town a mob of some thirty mounted men plunged toward the landing grid. They wore garments of yellow and blue and magenta.
piratesofersatz_03_leinster_64kb_f000227|They waved large-bladed knives and made bloodthirsty noises. Thal saw them and bolted, riding one horse and towing the other by a lead rope.|They waved large-bladed knives and made bloodthirsty noises. Thal saw them and bolted, riding one horse and towing the other by a lead rope.
piratesofersatz_03_leinster_64kb_f000228|It happened that his line of retreat passed by where Hoddan stood.|It happened that his line of retreat passed by where Hoddan stood.
piratesofersatz_03_leinster_64kb_f000229|Hoddan held up his hand. Thal reined in.|Hoddan held up his hand. Thal reined in.
piratesofersatz_03_leinster_64kb_f000230|Mount! he cried hoarsely. Mount and ride!|Mount! he cried hoarsely. Mount and ride!
piratesofersatz_03_leinster_64kb_f000231|Hoddan passed up the chemical — powder — gun. Thal seized it frantically.|Hoddan passed up the chemical - powder - gun. Thal seized it frantically.
piratesofersatz_03_leinster_64kb_f000232|Hurry! he panted. Don Loris would have my throat cut if I deserted you! Mount and ride!|Hurry! he panted. Don Loris would have my throat cut if I deserted you! Mount and ride!
piratesofersatz_03_leinster_64kb_f000233|Hoddan painstakingly fastened his bag to the saddle of the lead horse. He unfastened the lead rope. He'd noticed that Thal pulled in the leather reins to stop the horse.|Hoddan painstakingly fastened his bag to the saddle of the lead horse. He unfastened the lead rope. He'd noticed that Thal pulled in the leather reins to stop the horse.
piratesofersatz_03_leinster_64kb_f000234|He'd seen that he kicked it furiously to urge it on. He deduced that one steered the animal by pulling on one strap or the other. He climbed clumsily to a seat.|He'd seen that he kicked it furiously to urge it on. He deduced that one steered the animal by pulling on one strap or the other. He climbed clumsily to a seat.
piratesofersatz_03_leinster_64kb_f000235|There was a howl from the racing, mounted men. They waved their knives and yelled in zestful anticipation of murder.|There was a howl from the racing, mounted men. They waved their knives and yelled in zestful anticipation of murder.
piratesofersatz_03_leinster_64kb_f000236|Hoddan pulled on a rein. His horse turned obediently. He kicked it. The animal broke into a run toward the rushing mob. The jolting motion amazed Hoddan.|Hoddan pulled on a rein. His horse turned obediently. He kicked it. The animal broke into a run toward the rushing mob. The jolting motion amazed Hoddan.
piratesofersatz_03_leinster_64kb_f000237|One could not shoot straight while being shaken up like this! He dragged back on the reins. The horse stopped.|One could not shoot straight while being shaken up like this! He dragged back on the reins. The horse stopped.
piratesofersatz_03_leinster_64kb_f000238|Come! yelled Thal despairingly. This way! Quick!|Come! yelled Thal despairingly. This way! Quick!
piratesofersatz_03_leinster_64kb_f000239|Hoddan got out a stun-pistol. Sitting erect, frowning a little in his concentration, he began to take pot-shots at the charging small horde.|Hoddan got out a stun-pistol. Sitting erect, frowning a little in his concentration, he began to take pot-shots at the charging small horde.
piratesofersatz_03_leinster_64kb_f000240|Three of them got close enough to be blistered when stun-pistol bolts hit them. Others toppled from their saddles at distances ranging from one hundred yards to twenty.|Three of them got close enough to be blistered when stun-pistol bolts hit them. Others toppled from their saddles at distances ranging from one hundred yards to twenty.
piratesofersatz_03_leinster_64kb_f000241|A good dozen, however, saw what was happening in time to swerve their mounts and hightail it away. But there were eighteen luridly-tinted heaps of garments on the ground inside the landing grid.|A good dozen, however, saw what was happening in time to swerve their mounts and hightail it away. But there were eighteen luridly-tinted heaps of garments on the ground inside the landing grid.
piratesofersatz_03_leinster_64kb_f000242|Two or three of them squirmed and swore. Hoddan had partly missed, on them. He heard the chemical weapon booming thunderously.|Two or three of them squirmed and swore. Hoddan had partly missed, on them. He heard the chemical weapon booming thunderously.
piratesofersatz_03_leinster_64kb_f000243|Now that victory was won, Thal was shooting valorously. Hoddan held up his hand for cease fire. Thal rode up beside him, not quite believing what he'd seen.|Now that victory was won, Thal was shooting valorously. Hoddan held up his hand for cease fire. Thal rode up beside him, not quite believing what he'd seen.
piratesofersatz_03_leinster_64kb_f000244|Wonderful! he said shakily. Wonderful! Don Loris will be pleased! He will give me gifts for my help to you! This is a great fight! We will be great men, after this!|Wonderful! he said shakily. Wonderful! Don Loris will be pleased! He will give me gifts for my help to you! This is a great fight! We will be great men, after this!
piratesofersatz_03_leinster_64kb_f000245|Then let's go and brag, said Hoddan.|Then let's go and brag, said Hoddan.
piratesofersatz_03_leinster_64kb_f000246|Thal was shocked.|Thal was shocked.
piratesofersatz_03_leinster_64kb_f000247|You need me, he said commiseratingly. It is fortunate that Don Loris chose me to fight beside you!|You need me, he said commiseratingly. It is fortunate that Don Loris chose me to fight beside you!
piratesofersatz_03_leinster_64kb_f000248|He sent his horse trotting toward the mostly unconscious men on the ground. He alighted. Hoddan saw him happily and publicly pick the pockets of the stun-gun's victims.|He sent his horse trotting toward the mostly unconscious men on the ground. He alighted. Hoddan saw him happily and publicly pick the pockets of the stun-gun's victims.
piratesofersatz_03_leinster_64kb_f000249|He came back, beaming and now swaggering in his saddle.|He came back, beaming and now swaggering in his saddle.
piratesofersatz_03_leinster_64kb_f000250|We will be famous! he said zestfully. Two against thirty, and some ran away! He gloated. And it was a good haul! We share, of course, because we are companions.|We will be famous! he said zestfully. Two against thirty, and some ran away! He gloated. And it was a good haul! We share, of course, because we are companions.
piratesofersatz_03_leinster_64kb_f000251|Is it the custom, asked Hoddan mildly, to loot defenseless men?|Is it the custom, asked Hoddan mildly, to loot defenseless men?
piratesofersatz_03_leinster_64kb_f000252|But of course! said Thal. How else can a gentleman live, if he has no chieftain to give him presents? You defeated them, so of course you take their possessions!|But of course! said Thal. How else can a gentleman live, if he has no chieftain to give him presents? You defeated them, so of course you take their possessions!
piratesofersatz_03_leinster_64kb_f000253|Ah, yes, said Hoddan. To be sure!|Ah, yes, said Hoddan. To be sure!
piratesofersatz_03_leinster_64kb_f000254|He rode on. The road was a mere horse track. Presently it was less than that. He saw a frowning, battlemented stronghold away off to the left.|He rode on. The road was a mere horse track. Presently it was less than that. He saw a frowning, battlemented stronghold away off to the left.
piratesofersatz_03_leinster_64kb_f000255|Thal openly hoped that somebody would come from that castle and try to charge them toll for riding over their lord's land.|Thal openly hoped that somebody would come from that castle and try to charge them toll for riding over their lord's land.
piratesofersatz_03_leinster_64kb_f000256|After Hoddan had knocked them over with the stun-pistol, Thal would add to the heavy weight of coins already in his possession.|After Hoddan had knocked them over with the stun-pistol, Thal would add to the heavy weight of coins already in his possession.
piratesofersatz_03_leinster_64kb_f000257|It did not look promising, in a way. But just before sunset, Hoddan saw three tiny bright lights flash across the sky from west to east.|It did not look promising, in a way. But just before sunset, Hoddan saw three tiny bright lights flash across the sky from west to east.
piratesofersatz_03_leinster_64kb_f000258|They moved in formation and at identical speeds. Hoddan knew a spaceship in orbit when he saw one. He bristled, and muttered under his breath.|They moved in formation and at identical speeds. Hoddan knew a spaceship in orbit when he saw one. He bristled, and muttered under his breath.
piratesofersatz_03_leinster_64kb_f000259|What's that? asked Thal. What did you say?|What's that? asked Thal. What did you say?
piratesofersatz_03_leinster_64kb_f000260|I said, said Hoddan dourly, that I've got to do something about Walden. When they get an idea in their heads.|I said, said Hoddan dourly, that I've got to do something about Walden. When they get an idea in their heads.
piratesofersatz_03_leinster_64kb_f000261|End of chapter 3.|End of chapter three.
piratesofersatz_04_leinster_64kb_f000001|Chapter 4 of the pirates of ersatz.|Chapter four of the pirates of ersatz.
piratesofersatz_04_leinster_64kb_f000002|This librivox recording is in public domain.|This librivox recording is in public domain.
piratesofersatz_04_leinster_64kb_f000003|The pirates of ersatz by Murray Leinster. Chapter 4.|The pirates of ersatz by Murray Leinster. Chapter four.
piratesofersatz_04_leinster_64kb_f000004|According to the fiction tapes, the colonized worlds of the galaxy vary wildly from each other. In cold and unromantic fact, it isn't so.|According to the fiction tapes, the colonized worlds of the galaxy vary wildly from each other. In cold and unromantic fact, it isn't so.
piratesofersatz_04_leinster_64kb_f000005|Space travel is too cheap and sol-type solar systems too numerous to justify the settlement of hostile worlds. There's no point in trying to live where one has to put on special equipment every time he goes outdoors.|Space travel is too cheap and sol-type solar systems too numerous to justify the settlement of hostile worlds. There's no point in trying to live where one has to put on special equipment every time he goes outdoors.
piratesofersatz_04_leinster_64kb_f000006|There's no reason to settle on a world where one can't grow the kind of vegetation one's ancestors adapted themselves to some tens of thousands of generations ago.|There's no reason to settle on a world where one can't grow the kind of vegetation one's ancestors adapted themselves to some tens of thousands of generations ago.
piratesofersatz_04_leinster_64kb_f000007|It simply doesn't make sense!|It simply doesn't make sense!
piratesofersatz_04_leinster_64kb_f000008|So the inhabited worlds of the galaxy are farther apart than they could be, perhaps, and much more alike than is necessary.|So the inhabited worlds of the galaxy are farther apart than they could be, perhaps, and much more alike than is necessary.
piratesofersatz_04_leinster_64kb_f000009|But the human race has a predilection for gravity fields not too far from 980cm-sec accellerative force. We humans were designed for something like that.|But the human race has a predilection for gravity fields not too far from nine hundred eightycm-sec accellerative force. We humans were designed for something like that.
piratesofersatz_04_leinster_64kb_f000010|We prefer foodstuffs containing familiar amino compounds. Our metabolism was designed around them.|We prefer foodstuffs containing familiar amino compounds. Our metabolism was designed around them.
piratesofersatz_04_leinster_64kb_f000011|And since our geneticists have learned how to put aggressiveness into the genes of terrestrial-origin plants — why nowadays they briskly overwhelm the native flora wherever they are introduced.|And since our geneticists have learned how to put aggressiveness into the genes of terrestrial-origin plants - why nowadays they briskly overwhelm the native flora wherever they are introduced.
piratesofersatz_04_leinster_64kb_f000012|And it's rational to let it happen. If people are to thrive and multiply on new worlds as they are colonized, it's more convenient to modify the worlds to fit the colonists than the colonists to fit the worlds.|And it's rational to let it happen. If people are to thrive and multiply on new worlds as they are colonized, it's more convenient to modify the worlds to fit the colonists than the colonists to fit the worlds.
piratesofersatz_04_leinster_64kb_f000013|Therefore Bron Hoddan encountered no remarkable features in the landscape of Darth as he rode through the deepening night.|Therefore Bron Hoddan encountered no remarkable features in the landscape of Darth as he rode through the deepening night.
piratesofersatz_04_leinster_64kb_f000014|There was grass, which was not luxuriant. There were bushes, which were not unduly lush. There were trees, and birds, and various other commonplace living things whose forebears had been dumped on Darth some centuries before.|There was grass, which was not luxuriant. There were bushes, which were not unduly lush. There were trees, and birds, and various other commonplace living things whose forebears had been dumped on Darth some centuries before.
