dorothy_and_wizard_oz_01_f000001|To My Readers.|To My Readers.
dorothy_and_wizard_oz_02_f000093|I have nine lives, said the kitten, purring softly as it walked around in a circle and then came back to the roof; but I can't lose even one of them by falling in this country,|I have nine lives, said the kitten, purring softly as it walked around in a circle and then came back to the roof; but I can't lose even one of them by falling in this country,
dorothy_and_wizard_oz_02_f000094|because I really couldn't manage to fall if I wanted to.|because I really couldn't manage to fall if I wanted to.
dorothy_and_wizard_oz_02_f000095|Does the air bear up your weight? asked the girl.|Does the air bear up your weight? asked the girl.
dorothy_and_wizard_oz_02_f000096|Of course; can't you see? and again the kitten wandered into the air and back to the edge of the roof.|Of course; can't you see? and again the kitten wandered into the air and back to the edge of the roof.
dorothy_and_wizard_oz_02_f000097|It's wonderful! said Dorothy.|It's wonderful! said Dorothy.
dorothy_and_wizard_oz_02_f000098|Suppose we let Eureka go down to the street and get some one to help us, suggested Zeb, who had been even more amazed than Dorothy at these strange happenings.|Suppose we let Eureka go down to the street and get some one to help us, suggested Zeb, who had been even more amazed than Dorothy at these strange happenings.
dorothy_and_wizard_oz_02_f000099|Perhaps we can walk on the air ourselves, replied the girl.|Perhaps we can walk on the air ourselves, replied the girl.
dorothy_and_wizard_oz_02_f000100|Zeb drew back with a shiver.|Zeb drew back with a shiver.
dorothy_and_wizard_oz_02_f000101|I wouldn't dare try, he said.|I wouldn't dare try, he said.
dorothy_and_wizard_oz_02_f000102|Maybe Jim will go, continued Dorothy, looking at the horse.|Maybe Jim will go, continued Dorothy, looking at the horse.
dorothy_and_wizard_oz_02_f000103|And maybe he won't! answered Jim. I've tumbled through the air long enough to make me contented on this roof.|And maybe he won't! answered Jim. I've tumbled through the air long enough to make me contented on this roof.
dorothy_and_wizard_oz_02_f000104|But we didn't tumble to the roof, said the girl; by the time we reached here we were floating very slowly, and I'm almost sure we could float down to the street without getting hurt.|But we didn't tumble to the roof, said the girl; by the time we reached here we were floating very slowly, and I'm almost sure we could float down to the street without getting hurt.
dorothy_and_wizard_oz_02_f000105|Eureka walks on the air all right.|Eureka walks on the air all right.
dorothy_and_wizard_oz_02_f000106|Eureka weights only about half a pound, replied the horse, in a scornful tone, while I weigh about half a ton.|Eureka weights only about half a pound, replied the horse, in a scornful tone, while I weigh about half a ton.
dorothy_and_wizard_oz_02_f000107|You don't weigh as much as you ought to, Jim, remarked the girl, shaking her head as she looked at the animal. You're dreadfully skinny.|You don't weigh as much as you ought to, Jim, remarked the girl, shaking her head as she looked at the animal. You're dreadfully skinny.
dorothy_and_wizard_oz_02_f000108|Oh, well; I'm old, said the horse, hanging his head despondently, and I've had lots of trouble in my day, little one. For a good many years I drew a public cab in Chicago,|Oh, well; I'm old, said the horse, hanging his head despondently, and I've had lots of trouble in my day, little one. For a good many years I drew a public cab in Chicago,
dorothy_and_wizard_oz_02_f000109|and that's enough to make anyone skinny.|and that's enough to make anyone skinny.
dorothy_and_wizard_oz_02_f000110|He eats enough to get fat, I'm sure, said the boy, gravely.|He eats enough to get fat, I'm sure, said the boy, gravely.
dorothy_and_wizard_oz_02_f000111|Do I? Can you remember any breakfast that I've had today? growled Jim, as if he resented Zeb's speech.|Do I? Can you remember any breakfast that I've had today? growled Jim, as if he resented Zeb's speech.
dorothy_and_wizard_oz_02_f000112|None of us has had breakfast, said the boy; and in a time of danger like this it's foolish to talk about eating.|None of us has had breakfast, said the boy; and in a time of danger like this it's foolish to talk about eating.
dorothy_and_wizard_oz_02_f000113|Nothing is more dangerous than being without food, declared the horse, with a sniff at the rebuke of his young master;|Nothing is more dangerous than being without food, declared the horse, with a sniff at the rebuke of his young master;
dorothy_and_wizard_oz_02_f000114|and just at present no one can tell whether there are any oats in this queer country or not.|and just at present no one can tell whether there are any oats in this queer country or not.
dorothy_and_wizard_oz_02_f000115|If there are, they are liable to be glass oats!|If there are, they are liable to be glass oats!
dorothy_and_wizard_oz_02_f000116|Oh, no! exclaimed Dorothy. I can see plenty of nice gardens and fields down below us, at the edge of this city. But I wish we could find a way to get to the ground.|Oh, no! exclaimed Dorothy. I can see plenty of nice gardens and fields down below us, at the edge of this city. But I wish we could find a way to get to the ground.
dorothy_and_wizard_oz_02_f000117|Why don't you walk down? asked Eureka. I'm as hungry as the horse is, and I want my milk.|Why don't you walk down? asked Eureka. I'm as hungry as the horse is, and I want my milk.
dorothy_and_wizard_oz_02_f000118|Will you try it, Zeb? asked the girl, turning to her companion.|Will you try it, Zeb? asked the girl, turning to her companion.
dorothy_and_wizard_oz_02_f000119|Zeb hesitated. He was still pale and frightened, for this dreadful adventure had upset him and made him nervous and worried.|Zeb hesitated. He was still pale and frightened, for this dreadful adventure had upset him and made him nervous and worried.
dorothy_and_wizard_oz_02_f000120|But he did not wish the little girl to think him a coward, so he advanced slowly to the edge of the roof.|But he did not wish the little girl to think him a coward, so he advanced slowly to the edge of the roof.
dorothy_and_wizard_oz_02_f000121|Dorothy stretched out a hand to him and Zeb put one foot out and let it rest in the air a little over the edge of the roof.|Dorothy stretched out a hand to him and Zeb put one foot out and let it rest in the air a little over the edge of the roof.
dorothy_and_wizard_oz_02_f000122|It seemed firm enough to walk upon, so he took courage and put out the other foot.|It seemed firm enough to walk upon, so he took courage and put out the other foot.
dorothy_and_wizard_oz_02_f000123|Dorothy kept hold of his hand and followed him, and soon they were both walking through the air, with the kitten frisking beside them.|Dorothy kept hold of his hand and followed him, and soon they were both walking through the air, with the kitten frisking beside them.
dorothy_and_wizard_oz_02_f000124|Come on, Jim! called the boy. It's all right.|Come on, Jim! called the boy. It's all right.
dorothy_and_wizard_oz_02_f000125|Jim had crept to the edge of the roof to look over, and being a sensible horse and quite experienced, he made up his mind that he could go where the others did.|Jim had crept to the edge of the roof to look over, and being a sensible horse and quite experienced, he made up his mind that he could go where the others did.
dorothy_and_wizard_oz_02_f000126|So, with a snort and a neigh and a whisk of his short tail he trotted off the roof into the air and at once began floating downward to the street.|So, with a snort and a neigh and a whisk of his short tail he trotted off the roof into the air and at once began floating downward to the street.
dorothy_and_wizard_oz_02_f000127|His great weight made him fall faster than the children walked, and he passed them on the way down; but when he came to the glass pavement he alighted upon it so softly that he was not even jarred.|His great weight made him fall faster than the children walked, and he passed them on the way down; but when he came to the glass pavement he alighted upon it so softly that he was not even jarred.
dorothy_and_wizard_oz_02_f000128|Well, well! said Dorothy, drawing a long breath, What a strange country this is.|Well, well! said Dorothy, drawing a long breath, What a strange country this is.
dorothy_and_wizard_oz_02_f000129|People began to come out of the glass doors to look at the new arrivals, and pretty soon quite a crowd had assembled. There were men and women,|People began to come out of the glass doors to look at the new arrivals, and pretty soon quite a crowd had assembled. There were men and women,
dorothy_and_wizard_oz_02_f000130|but no children at all, and the folks were all beautifully formed and attractively dressed and had wonderfully handsome faces.|but no children at all, and the folks were all beautifully formed and attractively dressed and had wonderfully handsome faces.
dorothy_and_wizard_oz_02_f000131|There was not an ugly person in all the throng, yet Dorothy was not especially pleased by the appearance of these people because their features had no more expression than the faces of dolls.|There was not an ugly person in all the throng, yet Dorothy was not especially pleased by the appearance of these people because their features had no more expression than the faces of dolls.
dorothy_and_wizard_oz_02_f000132|They did not smile nor did they frown, or show either fear or surprise or curiosity or friendliness. They simply started at the strangers, paying most attention to Jim and Eureka,|They did not smile nor did they frown, or show either fear or surprise or curiosity or friendliness. They simply started at the strangers, paying most attention to Jim and Eureka,
dorothy_and_wizard_oz_02_f000133|for they had never before seen either a horse or a cat and the children bore an outward resemblance to themselves.|for they had never before seen either a horse or a cat and the children bore an outward resemblance to themselves.
dorothy_and_wizard_oz_02_f000134|Pretty soon a man joined the group who wore a glistening star in the dark hair just over his forehead. He seemed to be a person of authority,|Pretty soon a man joined the group who wore a glistening star in the dark hair just over his forehead. He seemed to be a person of authority,
dorothy_and_wizard_oz_02_f000135|for the others pressed back to give him room.|for the others pressed back to give him room.
dorothy_and_wizard_oz_02_f000136|After turning his composed eyes first upon the animals and then upon the children he said to Zeb, who was a little taller than Dorothy:|After turning his composed eyes first upon the animals and then upon the children he said to Zeb, who was a little taller than Dorothy:
dorothy_and_wizard_oz_02_f000137|Tell me, intruder, was it you who caused the Rain of Stones?|Tell me, intruder, was it you who caused the Rain of Stones?
dorothy_and_wizard_oz_02_f000138|For a moment the boy did not know what he meant by this question.|For a moment the boy did not know what he meant by this question.
dorothy_and_wizard_oz_02_f000139|Then, remembering the stones that had fallen with them and passed them long before they had reached this place, he answered:|Then, remembering the stones that had fallen with them and passed them long before they had reached this place, he answered:
dorothy_and_wizard_oz_02_f000140|No, sir; we didn't cause anything. It was the earthquake.|No, sir; we didn't cause anything. It was the earthquake.
dorothy_and_wizard_oz_02_f000141|The man with the star stood for a time quietly thinking over this speech. Then he asked:|The man with the star stood for a time quietly thinking over this speech. Then he asked:
dorothy_and_wizard_oz_02_f000142|What is an earthquake?|What is an earthquake?
dorothy_and_wizard_oz_02_f000143|I don't know, said Zeb, who was still confused. But Dorothy, seeing his perplexity, answered:|I don't know, said Zeb, who was still confused. But Dorothy, seeing his perplexity, answered:
dorothy_and_wizard_oz_02_f000144|It's a shaking of the earth. In this quake a big crack opened and we fell through horse and buggy, and all and the stones got loose and came down with us.|It's a shaking of the earth. In this quake a big crack opened and we fell through horse and buggy, and all and the stones got loose and came down with us.
dorothy_and_wizard_oz_02_f000145|The man with the star regarded her with his calm, expressionless eyes.|The man with the star regarded her with his calm, expressionless eyes.
dorothy_and_wizard_oz_02_f000146|The Rain of Stones has done much damage to our city, he said; and we shall hold you responsible for it unless you can prove your innocence.|The Rain of Stones has done much damage to our city, he said; and we shall hold you responsible for it unless you can prove your innocence.
dorothy_and_wizard_oz_02_f000147|How can we do that? asked the girl.|How can we do that? asked the girl.
dorothy_and_wizard_oz_02_f000148|That I am not prepared to say. It is your affair, not mine. You must go to the House of the Sorcerer, who will soon discover the truth.|That I am not prepared to say. It is your affair, not mine. You must go to the House of the Sorcerer, who will soon discover the truth.
dorothy_and_wizard_oz_02_f000149|Where is the House of the Sorcerer? the girl enquired.|Where is the House of the Sorcerer? the girl enquired.
dorothy_and_wizard_oz_02_f000150|I will lead you to it. Come!|I will lead you to it. Come!
dorothy_and_wizard_oz_02_f000151|He turned and walked down the street, and after a moment's hesitation Dorothy caught Eureka in her arms and climbed into the buggy.|He turned and walked down the street, and after a moment's hesitation Dorothy caught Eureka in her arms and climbed into the buggy.
dorothy_and_wizard_oz_02_f000152|The boy took his seat beside her and said: Gid-dap Jim.|The boy took his seat beside her and said: Gid-dap Jim.
dorothy_and_wizard_oz_02_f000153|As the horse ambled along, drawing the buggy, the people of the glass city made way for them and formed a procession in their rear.|As the horse ambled along, drawing the buggy, the people of the glass city made way for them and formed a procession in their rear.
dorothy_and_wizard_oz_02_f000154|Slowly they moved down one street and up another, turning first this way and then that,|Slowly they moved down one street and up another, turning first this way and then that,
dorothy_and_wizard_oz_02_f000155|until they came to an open square in the center of which was a big glass palace having a central dome and four tall spires on each corner.|until they came to an open square in the center of which was a big glass palace having a central dome and four tall spires on each corner.
dorothy_and_wizard_oz_02_f000156|End of chapter 2.|End of chapter two.
dorothy_and_wizard_oz_03_f000001|This is there librivox recording. All librivox recordings are in the public domain. For more information or to volunteer please visit librivox dot org.|This is there librivox recording. All librivox recordings are in the public domain. For more information or to volunteer please visit librivox dot org.
dorothy_and_wizard_oz_03_f000002|Dorothy and the Wizard in Oz L Frank Baum. Chapter 3. The Arrival Of The Wizard.|Dorothy and the Wizard in Oz L Frank Baum. Chapter three. The Arrival Of The Wizard.
dorothy_and_wizard_oz_03_f000003|The doorway of the glass palace was quite big enough for the horse and buggy to enter, so Zeb drove straight through it and the children found themselves in a lofty hall that was very beautiful.|The doorway of the glass palace was quite big enough for the horse and buggy to enter, so Zeb drove straight through it and the children found themselves in a lofty hall that was very beautiful.
dorothy_and_wizard_oz_03_f000004|The people at once followed and formed a circle around the sides of the spacious room, leaving the horse and buggy and the man with the star to occupy the center of the hall.|The people at once followed and formed a circle around the sides of the spacious room, leaving the horse and buggy and the man with the star to occupy the center of the hall.
dorothy_and_wizard_oz_03_f000005|Come to us, oh, Gwig! called the man, in a loud voice.|Come to us, oh, Gwig! called the man, in a loud voice.
dorothy_and_wizard_oz_03_f000006|Instantly a cloud of smoke appeared and rolled over the floor; then it slowly spread and ascended into the dome, disclosing a strange personage seated upon a glass throne just before Jim's nose.|Instantly a cloud of smoke appeared and rolled over the floor; then it slowly spread and ascended into the dome, disclosing a strange personage seated upon a glass throne just before Jim's nose.
dorothy_and_wizard_oz_03_f000007|He was formed just as were the other inhabitants of this land and his clothing only differed from theirs in being bright yellow.|He was formed just as were the other inhabitants of this land and his clothing only differed from theirs in being bright yellow.
dorothy_and_wizard_oz_03_f000008|But he had no hair at all, and all over his bald head and face and upon the backs of his hands grew sharp thorns like those found on the branches of rose-bushes.|But he had no hair at all, and all over his bald head and face and upon the backs of his hands grew sharp thorns like those found on the branches of rose-bushes.
dorothy_and_wizard_oz_03_f000009|There was even a thorn upon the tip of his nose and he looked so funny that Dorothy laughed when she saw him.|There was even a thorn upon the tip of his nose and he looked so funny that Dorothy laughed when she saw him.
dorothy_and_wizard_oz_03_f000010|The Sorcerer, hearing the laugh, looked toward the little girl with cold, cruel eyes, and his glance made her grow sober in an instant.|The Sorcerer, hearing the laugh, looked toward the little girl with cold, cruel eyes, and his glance made her grow sober in an instant.
dorothy_and_wizard_oz_03_f000011|Why have you dared to intrude your unwelcome persons into the secluded Land of the Mangaboos? he asked, sternly.|Why have you dared to intrude your unwelcome persons into the secluded Land of the Mangaboos? he asked, sternly.
dorothy_and_wizard_oz_03_f000012|'Cause we couldn't help it, said Dorothy.|'Cause we couldn't help it, said Dorothy.
dorothy_and_wizard_oz_03_f000013|Why did you wickedly and viciously send the Rain of Stones to crack and break our houses? he continued.|Why did you wickedly and viciously send the Rain of Stones to crack and break our houses? he continued.
dorothy_and_wizard_oz_03_f000014|We didn't, declared the girl.|We didn't, declared the girl.
dorothy_and_wizard_oz_03_f000015|Prove it! cried the Sorcerer.|Prove it! cried the Sorcerer.
dorothy_and_wizard_oz_03_f000016|We don't have to prove it, answered Dorothy, indignantly. If you had any sense at all you'd known it was the earthquake.|We don't have to prove it, answered Dorothy, indignantly. If you had any sense at all you'd known it was the earthquake.
dorothy_and_wizard_oz_03_f000017|We only know that yesterday came a Rain of Stones upon us, which did much damage and injured some of our people. Today came another Rain of Stones,|We only know that yesterday came a Rain of Stones upon us, which did much damage and injured some of our people. Today came another Rain of Stones,
dorothy_and_wizard_oz_03_f000018|and soon after it you appeared among us.|and soon after it you appeared among us.
dorothy_and_wizard_oz_03_f000019|By the way, said the man with the star, looking steadily at the Sorcerer, you told us yesterday that there would not be a second Rain of Stones.|By the way, said the man with the star, looking steadily at the Sorcerer, you told us yesterday that there would not be a second Rain of Stones.
dorothy_and_wizard_oz_03_f000020|Yet one has just occurred that was even worse than the first. What is your sorcery good for if it cannot tell us the truth?|Yet one has just occurred that was even worse than the first. What is your sorcery good for if it cannot tell us the truth?
dorothy_and_wizard_oz_03_f000021|My sorcery does tell the truth! declared the thorn-covered man. I said there would be but one Rain of Stones. This second one was a Rain of People-and-Horse-and-Buggy.|My sorcery does tell the truth! declared the thorn-covered man. I said there would be but one Rain of Stones. This second one was a Rain of People-and-Horse-and-Buggy.
dorothy_and_wizard_oz_03_f000022|And some stones came with them.|And some stones came with them.
dorothy_and_wizard_oz_03_f000023|Will there be any more Rains? asked the man with the star.|Will there be any more Rains? asked the man with the star.
dorothy_and_wizard_oz_03_f000024|No, my Prince.|No, my Prince.
dorothy_and_wizard_oz_03_f000025|Neither stones nor people?|Neither stones nor people?
dorothy_and_wizard_oz_03_f000026|No, my Prince.|No, my Prince.
dorothy_and_wizard_oz_03_f000027|Are you sure?|Are you sure?
dorothy_and_wizard_oz_03_f000028|Quite sure, my Prince. My sorcery tells me so.|Quite sure, my Prince. My sorcery tells me so.
dorothy_and_wizard_oz_03_f000029|Just then a man came running into the hall and addressed the Prince after making a low bow.|Just then a man came running into the hall and addressed the Prince after making a low bow.
dorothy_and_wizard_oz_03_f000030|More wonders in the air, my Lord, said he.|More wonders in the air, my Lord, said he.
dorothy_and_wizard_oz_03_f000031|Immediately the Prince and all of his people flocked out of the hall into the street, that they might see what was about to happen.|Immediately the Prince and all of his people flocked out of the hall into the street, that they might see what was about to happen.
dorothy_and_wizard_oz_03_f000032|Dorothy and Zeb jumped out of the buggy and ran after them, but the Sorcerer remained calmly in his throne.|Dorothy and Zeb jumped out of the buggy and ran after them, but the Sorcerer remained calmly in his throne.
dorothy_and_wizard_oz_03_f000033|Far up in the air was an object that looked like a balloon. It was not so high as the glowing star of the six colored suns,|Far up in the air was an object that looked like a balloon. It was not so high as the glowing star of the six colored suns,
dorothy_and_wizard_oz_03_f000034|but was descending slowly through the air so slowly that at first it scarcely seemed to move.|but was descending slowly through the air so slowly that at first it scarcely seemed to move.
dorothy_and_wizard_oz_03_f000035|The throng stood still and waited. It was all they could do, for to go away and leave that strange sight was impossible; nor could they hurry its fall in any way.|The throng stood still and waited. It was all they could do, for to go away and leave that strange sight was impossible; nor could they hurry its fall in any way.
dorothy_and_wizard_oz_03_f000036|The earth children were not noticed, being so near the average size of the Mangaboos, and the horse had remained in the House of the Sorcerer,|The earth children were not noticed, being so near the average size of the Mangaboos, and the horse had remained in the House of the Sorcerer,
dorothy_and_wizard_oz_03_f000037|with Eureka curled up asleep on the seat of the buggy.|with Eureka curled up asleep on the seat of the buggy.
dorothy_and_wizard_oz_03_f000038|Gradually the balloon grew bigger, which was proof that it was settling down upon the Land of the Mangaboos. Dorothy was surprised to find how patient the people were,|Gradually the balloon grew bigger, which was proof that it was settling down upon the Land of the Mangaboos. Dorothy was surprised to find how patient the people were,
dorothy_and_wizard_oz_03_f000039|for her own little heart was beating rapidly with excitement.|for her own little heart was beating rapidly with excitement.
dorothy_and_wizard_oz_03_f000040|A balloon meant to her some other arrival from the surface of the earth, and she hoped it would be some one able to assist her and Zeb out of their difficulties.|A balloon meant to her some other arrival from the surface of the earth, and she hoped it would be some one able to assist her and Zeb out of their difficulties.
dorothy_and_wizard_oz_03_f000041|In an hour the balloon had come near enough for her to see a basket suspended below it; in two hours she could see a head looking over the side of the basket;|In an hour the balloon had come near enough for her to see a basket suspended below it; in two hours she could see a head looking over the side of the basket;
dorothy_and_wizard_oz_03_f000042|in three hours the big balloon settled slowly into the great square in which they stood and came to rest on the glass pavement.|in three hours the big balloon settled slowly into the great square in which they stood and came to rest on the glass pavement.
dorothy_and_wizard_oz_03_f000043|Then a little man jumped out of the basket, took off his tall hat, and bowed very gracefully to the crowd of Mangaboos around him.|Then a little man jumped out of the basket, took off his tall hat, and bowed very gracefully to the crowd of Mangaboos around him.
dorothy_and_wizard_oz_03_f000044|He was quite an old little man and his head was long and entirely bald.|He was quite an old little man and his head was long and entirely bald.
dorothy_and_wizard_oz_03_f000045|Why, cried Dorothy, in amazement, it's Oz!|Why, cried Dorothy, in amazement, it's Oz!
dorothy_and_wizard_oz_03_f000046|The little man looked toward her and seemed as much surprised as she was. But he smiled and bowed as he answered:|The little man looked toward her and seemed as much surprised as she was. But he smiled and bowed as he answered:
dorothy_and_wizard_oz_03_f000047|Yes, my dear; I am Oz, the Great and Terrible. Eh? And you are little Dorothy, from Kansas. I remember you very well.|Yes, my dear; I am Oz, the Great and Terrible. Eh? And you are little Dorothy, from Kansas. I remember you very well.
dorothy_and_wizard_oz_03_f000048|Who did you say it was? whispered Zeb to the girl.|Who did you say it was? whispered Zeb to the girl.
dorothy_and_wizard_oz_03_f000049|It's the wonderful Wizard of Oz. Haven't you heard of him?|It's the wonderful Wizard of Oz. Haven't you heard of him?
dorothy_and_wizard_oz_03_f000050|Just then the man with the star came and stood before the Wizard.|Just then the man with the star came and stood before the Wizard.
dorothy_and_wizard_oz_03_f000051|Sir, said he, why are you here, in the Land of the Mangaboos?|Sir, said he, why are you here, in the Land of the Mangaboos?
dorothy_and_wizard_oz_03_f000052|Didn't know what land it was, my son, returned the other, with a pleasant smile; and, to be honest, I didn't mean to visit you when I started out.|Didn't know what land it was, my son, returned the other, with a pleasant smile; and, to be honest, I didn't mean to visit you when I started out.
dorothy_and_wizard_oz_03_f000053|I live on top of the earth, your honor, which is far better than living inside it;|I live on top of the earth, your honor, which is far better than living inside it;
dorothy_and_wizard_oz_03_f000054|but yesterday I went up in a balloon, and when I came down I fell into a big crack in the earth, caused by an earthquake.|but yesterday I went up in a balloon, and when I came down I fell into a big crack in the earth, caused by an earthquake.
dorothy_and_wizard_oz_03_f000055|I had let so much gas out of my balloon that I could not rise again, and in a few minutes the earth closed over my head. So I continued to descend until I reached this place,|I had let so much gas out of my balloon that I could not rise again, and in a few minutes the earth closed over my head. So I continued to descend until I reached this place,
dorothy_and_wizard_oz_03_f000056|and if you will show me a way to get out of it, I'll go with pleasure.|and if you will show me a way to get out of it, I'll go with pleasure.
dorothy_and_wizard_oz_03_f000057|Sorry to have troubled you; but it couldn't be helped.|Sorry to have troubled you; but it couldn't be helped.
dorothy_and_wizard_oz_03_f000058|The Prince had listened with attention. Said he:|The Prince had listened with attention. Said he:
dorothy_and_wizard_oz_03_f000059|This child, who is from the crust of the earth, like yourself, called you a Wizard. Is not a Wizard something like a Sorcerer?|This child, who is from the crust of the earth, like yourself, called you a Wizard. Is not a Wizard something like a Sorcerer?
dorothy_and_wizard_oz_03_f000060|It's better, replied Oz, promptly. One Wizard is worth three Sorcerers.|It's better, replied Oz, promptly. One Wizard is worth three Sorcerers.
dorothy_and_wizard_oz_03_f000061|Ah, you shall prove that, said the Prince. We Mangaboos have, at the present time, one of the most wonderful Sorcerers that ever was picked from a bush;|Ah, you shall prove that, said the Prince. We Mangaboos have, at the present time, one of the most wonderful Sorcerers that ever was picked from a bush;
dorothy_and_wizard_oz_03_f000062|but he sometimes makes mistakes. Do you ever make mistakes?|but he sometimes makes mistakes. Do you ever make mistakes?
dorothy_and_wizard_oz_03_f000063|Never! declared the Wizard, boldly.|Never! declared the Wizard, boldly.
dorothy_and_wizard_oz_03_f000064|Oh, Oz! said Dorothy; you made a lot of mistakes when you were in the marvelous Land of Oz.|Oh, Oz! said Dorothy; you made a lot of mistakes when you were in the marvelous Land of Oz.
dorothy_and_wizard_oz_03_f000065|Nonsense! said the little man, turning red although just then a ray of violet sunlight was on his round face.|Nonsense! said the little man, turning red although just then a ray of violet sunlight was on his round face.
dorothy_and_wizard_oz_03_f000066|Come with me, said the Prince to him. I wish to meet our Sorcerer.|Come with me, said the Prince to him. I wish to meet our Sorcerer.
dorothy_and_wizard_oz_03_f000067|The Wizard did not like this invitation, but he could not refuse to accept it. So he followed the Prince into the great domed hall, and Dorothy and Zeb came after them,|The Wizard did not like this invitation, but he could not refuse to accept it. So he followed the Prince into the great domed hall, and Dorothy and Zeb came after them,
dorothy_and_wizard_oz_03_f000068|while the throng of people trooped in also.|while the throng of people trooped in also.
dorothy_and_wizard_oz_03_f000069|There sat the thorny Sorcerer in his chair of state, and when the Wizard saw him he began to laugh, uttering comical little chuckles.|There sat the thorny Sorcerer in his chair of state, and when the Wizard saw him he began to laugh, uttering comical little chuckles.
dorothy_and_wizard_oz_03_f000070|What an absurd creature! he exclaimed.|What an absurd creature! he exclaimed.
dorothy_and_wizard_oz_03_f000071|He may look absurd, said the Prince, in his quiet voice; but he is an excellent Sorcerer. The only fault I find with him is that he is so often wrong.|He may look absurd, said the Prince, in his quiet voice; but he is an excellent Sorcerer. The only fault I find with him is that he is so often wrong.
dorothy_and_wizard_oz_03_f000072|I am never wrong, answered the Sorcerer.|I am never wrong, answered the Sorcerer.
dorothy_and_wizard_oz_03_f000073|Only a short time ago you told me there would be no more Rain of Stones or of People, said the Prince.|Only a short time ago you told me there would be no more Rain of Stones or of People, said the Prince.
dorothy_and_wizard_oz_03_f000074|Well, what then?|Well, what then?
dorothy_and_wizard_oz_03_f000075|Here is another person descended from the air to prove you were wrong.|Here is another person descended from the air to prove you were wrong.
dorothy_and_wizard_oz_03_f000076|One person cannot be called 'people,' said the Sorcerer. If two should come out of the sky you might with justice say I was wrong; but unless more than this one appears I will hold that I was right.|One person cannot be called 'people,' said the Sorcerer. If two should come out of the sky you might with justice say I was wrong; but unless more than this one appears I will hold that I was right.
dorothy_and_wizard_oz_03_f000077|Very clever, said the Wizard, nodding his head as if pleased. I am delighted to find humbugs inside the earth, just the same as on top of it.|Very clever, said the Wizard, nodding his head as if pleased. I am delighted to find humbugs inside the earth, just the same as on top of it.
dorothy_and_wizard_oz_03_f000078|Were you ever with a circus, brother?|Were you ever with a circus, brother?
dorothy_and_wizard_oz_03_f000079|No, said the Sorcerer.|No, said the Sorcerer.
dorothy_and_wizard_oz_03_f000080|You ought to join one, declared the little man seriously. I belong to Bailum & Barney's Great Consolidated Shows three rings in one tent and a menagerie on the side.|You ought to join one, declared the little man seriously. I belong to Bailum  Barney's Great Consolidated Shows three rings in one tent and a menagerie on the side.
dorothy_and_wizard_oz_03_f000081|It's a fine aggregation, I assure you.|It's a fine aggregation, I assure you.
dorothy_and_wizard_oz_03_f000082|What do you do? asked the Sorcerer.|What do you do? asked the Sorcerer.
dorothy_and_wizard_oz_03_f000083|I go up in a balloon, usually, to draw the crowds to the circus. But I've just had the bad luck to come out of the sky, skip the solid earth, and land lower down than I intended.|I go up in a balloon, usually, to draw the crowds to the circus. But I've just had the bad luck to come out of the sky, skip the solid earth, and land lower down than I intended.
dorothy_and_wizard_oz_03_f000084|But never mind. It isn't everybody who gets a chance to see your Land of the Gabazoos.|But never mind. It isn't everybody who gets a chance to see your Land of the Gabazoos.
dorothy_and_wizard_oz_03_f000085|Mangaboos, said the Sorcerer, correcting him. If you are a Wizard you ought to be able to call people by their right names.|Mangaboos, said the Sorcerer, correcting him. If you are a Wizard you ought to be able to call people by their right names.
dorothy_and_wizard_oz_03_f000086|Oh, I'm a Wizard; you may be sure of that. Just as good a Wizard as you are a Sorcerer.|Oh, I'm a Wizard; you may be sure of that. Just as good a Wizard as you are a Sorcerer.
dorothy_and_wizard_oz_03_f000087|That remains to be seen, said the other.|That remains to be seen, said the other.
dorothy_and_wizard_oz_03_f000088|If you are able to prove that you are better, said the Prince to the little man, I will make you the Chief Wizard of this domain.|If you are able to prove that you are better, said the Prince to the little man, I will make you the Chief Wizard of this domain.
dorothy_and_wizard_oz_03_f000089|Otherwise What will happen otherwise? asked the Wizard.|Otherwise What will happen otherwise? asked the Wizard.
dorothy_and_wizard_oz_03_f000090|I will stop you from living and forbid you to be planted, returned the Prince.|I will stop you from living and forbid you to be planted, returned the Prince.
dorothy_and_wizard_oz_03_f000091|That does not sound especially pleasant, said the little man, looking at the one with the star uneasily. But never mind. I'll beat Old Prickly, all right.|That does not sound especially pleasant, said the little man, looking at the one with the star uneasily. But never mind. I'll beat Old Prickly, all right.
dorothy_and_wizard_oz_03_f000092|My name is Gwig, said the Sorcerer, turning his heartless, cruel eyes upon his rival. Let me see you equal the sorcery I am about to perform.|My name is Gwig, said the Sorcerer, turning his heartless, cruel eyes upon his rival. Let me see you equal the sorcery I am about to perform.
dorothy_and_wizard_oz_03_f000093|He waved a thorny hand and at once the tinkling of bells was heard, playing sweet music. Yet, look where she would, Dorothy could discover no bells at all in the great glass hall.|He waved a thorny hand and at once the tinkling of bells was heard, playing sweet music. Yet, look where she would, Dorothy could discover no bells at all in the great glass hall.
dorothy_and_wizard_oz_03_f000094|The Mangaboo people listened, but showed no great interest. It was one of the things Gwig usually did to prove he was a sorcerer.|The Mangaboo people listened, but showed no great interest. It was one of the things Gwig usually did to prove he was a sorcerer.
dorothy_and_wizard_oz_03_f000095|Now was the Wizard's turn, so he smiled upon the assemblage and asked:|Now was the Wizard's turn, so he smiled upon the assemblage and asked:
