skyisland_01_baum_64kb_f000003|BY L FRANK BAUM.|BY L FRANK BAUM.
skyisland_03_baum_64kb_f000046|However, Trot had gone safely to town and back and had greatly enjoyed the experience. All right, he said. I'll risk it, mate, although I guess I'm an old fool for temptin' fate by tryin' to make a bird of myself.|However, Trot had gone safely to town and back and had greatly enjoyed the experience. All right, he said. I'll risk it, mate, although I guess I'm an old fool for temptin' fate by tryin' to make a bird of myself.
skyisland_03_baum_64kb_f000047|Get the lunch, Trot, if your mother'll let you have it, and I'll rig up the seat. He went into the shed and Trot went to her mother.|Get the lunch, Trot, if your mother'll let you have it, and I'll rig up the seat. He went into the shed and Trot went to her mother.
skyisland_03_baum_64kb_f000048|Mrs. Griffith, busy with her work, knew nothing of what was going on in regard to the flight of the Magic Umbrella. She never objected when Trot wanted to go away with captain Bill for a day's picnicking.|Mrs. Griffith, busy with her work, knew nothing of what was going on in regard to the flight of the Magic Umbrella. She never objected when Trot wanted to go away with captain Bill for a day's picnicking.
skyisland_03_baum_64kb_f000049|She knew the child was perfectly safe with the old sailor, who cared for Trot even better than her mother would have done.|She knew the child was perfectly safe with the old sailor, who cared for Trot even better than her mother would have done.
skyisland_03_baum_64kb_f000050|If she had asked any questions today and had found out they intended to fly in the air, she might have seriously objected, but Mrs.|If she had asked any questions today and had found out they intended to fly in the air, she might have seriously objected, but Mrs.
skyisland_03_baum_64kb_f000051|Griffith had her mind on other things and merely told the girl to take what she wanted from the cupboard and not bother her.|Griffith had her mind on other things and merely told the girl to take what she wanted from the cupboard and not bother her.
skyisland_03_baum_64kb_f000052|So Trot, remembering that Button-Bright would be with them and had proved himself to be a hearty eater, loaded the basket with all the good things she could find.|So Trot, remembering that Button-Bright would be with them and had proved himself to be a hearty eater, loaded the basket with all the good things she could find.
skyisland_03_baum_64kb_f000053|By the time she came out, lugging the basket with both hands, captain Bill appeared with the new seat he had made for his own use, which he attached by means of ropes to the double seat of the boy and girl.|By the time she came out, lugging the basket with both hands, captain Bill appeared with the new seat he had made for his own use, which he attached by means of ropes to the double seat of the boy and girl.
skyisland_03_baum_64kb_f000054|Now then, where'll we go? asked Trot.|Now then, where'll we go? asked Trot.
skyisland_03_baum_64kb_f000055|Anywhere suits me, replied captain Bill. They had walked to the high bluff overlooking the sea, where a gigantic acacia tree stood on the very edge.|Anywhere suits me, replied captain Bill. They had walked to the high bluff overlooking the sea, where a gigantic acacia tree stood on the very edge.
skyisland_03_baum_64kb_f000056|A seat had been built around the trunk of the tree, for this was a favorite spot for Trot and captain Bill to sit and talk and watch the fleet of fishing boats sail to and from the village.|A seat had been built around the trunk of the tree, for this was a favorite spot for Trot and captain Bill to sit and talk and watch the fleet of fishing boats sail to and from the village.
skyisland_03_baum_64kb_f000057|When they came to this tree, Trot was still trying to think of the most pleasant place to picnic. She and captain Bill had been every place that was desirable and nearby,|When they came to this tree, Trot was still trying to think of the most pleasant place to picnic. She and captain Bill had been every place that was desirable and nearby,
skyisland_03_baum_64kb_f000058|but today they didn't want a nearby spot.|but today they didn't want a nearby spot.
skyisland_03_baum_64kb_f000059|They must decide upon one far enough away to afford them a fine trip through the air.|They must decide upon one far enough away to afford them a fine trip through the air.
skyisland_03_baum_64kb_f000060|Looking far out over the Pacific, the girl's eyes fell upon a dim island lying on the horizon line just where the sky and water seemed to meet, and the sight gave her an idea.|Looking far out over the Pacific, the girl's eyes fell upon a dim island lying on the horizon line just where the sky and water seemed to meet, and the sight gave her an idea.
skyisland_03_baum_64kb_f000061|Oh, captain Bill! she exclaimed. Let's go to that island for our picnic. We've never been there yet, you know. The sailor shook his head.|Oh, captain Bill! she exclaimed. Let's go to that island for our picnic. We've never been there yet, you know. The sailor shook his head.
skyisland_03_baum_64kb_f000062|It's a good many miles away, Trot, he said, further than it looks to be from here. That won't matter, remarked Button-Bright.|It's a good many miles away, Trot, he said, further than it looks to be from here. That won't matter, remarked Button-Bright.
skyisland_03_baum_64kb_f000063|The umbrella will carry us there in no time. Let's go! repeated Trot. We'll never have another such chance, captain. It's too far to sail or row,|The umbrella will carry us there in no time. Let's go! repeated Trot. We'll never have another such chance, captain. It's too far to sail or row,
skyisland_03_baum_64kb_f000064|and I've always wanted to visit that island.|and I've always wanted to visit that island.
skyisland_03_baum_64kb_f000065|What's the name of it? inquired Button-Bright while the sailor hesitated to decide.|What's the name of it? inquired Button-Bright while the sailor hesitated to decide.
skyisland_03_baum_64kb_f000066|Oh, it's got an awful hard name to pernounce, replied the girl, so captain Bill and I jus' call it 'Sky Island' because it looks as if it was half in the sky.|Oh, it's got an awful hard name to pernounce, replied the girl, so captain Bill and I jus' call it 'Sky Island' because it looks as if it was half in the sky.
skyisland_03_baum_64kb_f000067|We've been told it's a very pretty island, and a few people live there and keep cows and goats and fish for a living. There are woods and pastures and springs of clear water,|We've been told it's a very pretty island, and a few people live there and keep cows and goats and fish for a living. There are woods and pastures and springs of clear water,
skyisland_03_baum_64kb_f000068|and I'm sure we would find it a fine place for a picnic.|and I'm sure we would find it a fine place for a picnic.
skyisland_03_baum_64kb_f000069|If anything happened on the way, observed captain Bill, we'd drop in the water. Of course, said Trot, and if anything happened while we were flyin' over the land, we'd drop there.|If anything happened on the way, observed captain Bill, we'd drop in the water. Of course, said Trot, and if anything happened while we were flyin' over the land, we'd drop there.
skyisland_03_baum_64kb_f000070|But nothing's goin' to happen, captain.|But nothing's goin' to happen, captain.
skyisland_03_baum_64kb_f000071|Didn't Button-Bright come safe all the way from Philydelfy? I think I'd like to go to Sky Island, said the boy. I've always flown above the land so far,|Didn't Button-Bright come safe all the way from Philydelfy? I think I'd like to go to Sky Island, said the boy. I've always flown above the land so far,
skyisland_03_baum_64kb_f000072|and it will be something new to fly over the ocean.|and it will be something new to fly over the ocean.
skyisland_03_baum_64kb_f000073|All right, I'm agree'ble, decided captain Bill. But afore we starts on such a long journey, s'pose we make a little trial trip along the coast.|All right, I'm agree'ble, decided captain Bill. But afore we starts on such a long journey, s'pose we make a little trial trip along the coast.
skyisland_03_baum_64kb_f000074|I want to see if the new seat fits me and make certain the umbrel will carry all three of us. Very well, said Button-Bright.|I want to see if the new seat fits me and make certain the umbrel will carry all three of us. Very well, said Button-Bright.
skyisland_03_baum_64kb_f000075|Where shall we go? Let's go as far as Smuggler's Cove and then turn 'round and come back.|Where shall we go? Let's go as far as Smuggler's Cove and then turn 'round and come back.
skyisland_03_baum_64kb_f000076|If all's right and shipshape, then we can start for the island. They put the broad double seat on the ground, and then the boy and girl sat in their places and Button-Bright spread open the Magic Umbrella.|If all's right and shipshape, then we can start for the island. They put the broad double seat on the ground, and then the boy and girl sat in their places and Button-Bright spread open the Magic Umbrella.
skyisland_03_baum_64kb_f000077|captain Bill sat in his seat just in front of them, all being upon the ground.|captain Bill sat in his seat just in front of them, all being upon the ground.
skyisland_03_baum_64kb_f000078|Don't we look funny? said Trot with a chuckle of glee. But hold fast the ropes, captain, and take care of your wooden leg.|Don't we look funny? said Trot with a chuckle of glee. But hold fast the ropes, captain, and take care of your wooden leg.
skyisland_03_baum_64kb_f000079|Button-Bright addressed the umbrella, speaking to it very respectfully, for it was a thing to inspire awe. I want to go as far as Smuggler's Cove and then turn around in the air and come back here, he said.|Button-Bright addressed the umbrella, speaking to it very respectfully, for it was a thing to inspire awe. I want to go as far as Smuggler's Cove and then turn around in the air and come back here, he said.
skyisland_03_baum_64kb_f000080|At once the umbrella rose into the air, lifting after it first the seat in which the children sat, and then captain Bill's seat.|At once the umbrella rose into the air, lifting after it first the seat in which the children sat, and then captain Bill's seat.
skyisland_03_baum_64kb_f000081|Don't kick your heels, Trot! cried the sailor in a voice that proved he was excited by his novel experience. You might bump me in the nose.|Don't kick your heels, Trot! cried the sailor in a voice that proved he was excited by his novel experience. You might bump me in the nose.
skyisland_03_baum_64kb_f000082|All right, she called back. I'll be careful. It was really a wonderful, exhilarating ride, and captain Bill wasn't long making up his mind he liked the sensation.|All right, she called back. I'll be careful. It was really a wonderful, exhilarating ride, and captain Bill wasn't long making up his mind he liked the sensation.
skyisland_03_baum_64kb_f000083|When about fifty feet above the ground the umbrella began moving along the coast toward Smuggler's Cove, which it soon reached.|When about fifty feet above the ground the umbrella began moving along the coast toward Smuggler's Cove, which it soon reached.
skyisland_03_baum_64kb_f000084|Looking downward, captain Bill suddenly exclaimed, Why, there' a boat cast loose, and it's goin' to smash on the rocks. Hold on a minute, Butt'n-Bright,|Looking downward, captain Bill suddenly exclaimed, Why, there' a boat cast loose, and it's goin' to smash on the rocks. Hold on a minute, Butt'n-Bright,
skyisland_03_baum_64kb_f000085|till we can land and drag it ashore.|till we can land and drag it ashore.
skyisland_03_baum_64kb_f000086|Hold on a minute, Umbrella! cried the boy. But the Magic Umbrella kept steadily upon its way. It made a circle over the Cove and then started straight back the way it had come.|Hold on a minute, Umbrella! cried the boy. But the Magic Umbrella kept steadily upon its way. It made a circle over the Cove and then started straight back the way it had come.
skyisland_03_baum_64kb_f000087|It's no use, sir, said Button-Bright to the sailor. If I once tell it to go to a certain place, the umbrella will go there, and nowhere else.|It's no use, sir, said Button-Bright to the sailor. If I once tell it to go to a certain place, the umbrella will go there, and nowhere else.
skyisland_03_baum_64kb_f000088|I've found that out before this. You simply CAN'T stop it. Won't let you change your mind, eh? replied captain Bill. Well, that has its advantidges, and its disadvantiges.|I've found that out before this. You simply CAN'T stop it. Won't let you change your mind, eh? replied captain Bill. Well, that has its advantidges, and its disadvantiges.
skyisland_03_baum_64kb_f000089|If your ol' umbrel hadn't been so obstinate, we could have saved that boat. Never mind, said Trot briskly, here we are safe back again.|If your ol' umbrel hadn't been so obstinate, we could have saved that boat. Never mind, said Trot briskly, here we are safe back again.
skyisland_03_baum_64kb_f000090|Wasn't it jus' the the fascinatingest ride you ever took, captain? It's pretty good fun, admitted captain Bill. Beats them aeroplanes an' things all holler,|Wasn't it jus' the the fascinatingest ride you ever took, captain? It's pretty good fun, admitted captain Bill. Beats them aeroplanes an' things all holler,
skyisland_03_baum_64kb_f000091|because it don't need any regulatin.|because it don't need any regulatin.
skyisland_03_baum_64kb_f000092|' If we're going to that island, we may as well start right away, said Button-Bright when they had safely landed.|' If we're going to that island, we may as well start right away, said Button-Bright when they had safely landed.
skyisland_03_baum_64kb_f000093|All right. I'll tie on the lunch-basket, answered the sailor. He fastened it so it would swing underneath his own seat, and they all took their places again.|All right. I'll tie on the lunch-basket, answered the sailor. He fastened it so it would swing underneath his own seat, and they all took their places again.
skyisland_03_baum_64kb_f000094|Ready? asked the boy.|Ready? asked the boy.
skyisland_03_baum_64kb_f000095|Let 'er go, my lad. I want to go to Sky Island, said Button-Bright to the umbrella, using the name Trot had given him. The umbrella started promptly.|Let 'er go, my lad. I want to go to Sky Island, said Button-Bright to the umbrella, using the name Trot had given him. The umbrella started promptly.
skyisland_03_baum_64kb_f000096|It rose higher than before, carrying the three voyagers with it, and then started straight away over the ocean.|It rose higher than before, carrying the three voyagers with it, and then started straight away over the ocean.
skyisland_03_baum_64kb_f000097|End of chapter 3.|End of chapter three.
skyisland_04_baum_64kb_f000001|This is there librivox recording. All librivox recordings are in the public domain. For more information or to volunteer please visit librivox dot org.|This is there librivox recording. All librivox recordings are in the public domain. For more information or to volunteer please visit librivox dot org.
skyisland_04_baum_64kb_f000002|Sky island by L Frank Baum. Chapter 4 THE ISLAND IN THE SKY.|Sky island by L Frank Baum. Chapter four THE ISLAND IN THE SKY.
skyisland_04_baum_64kb_f000003|They clung tightly to the ropes, but the breeze was with them, so after a few moments, when they became accustomed to the motion, they began to enjoy the ride immensely.|They clung tightly to the ropes, but the breeze was with them, so after a few moments, when they became accustomed to the motion, they began to enjoy the ride immensely.
skyisland_04_baum_64kb_f000004|Larger and larger grew the island, and although they were headed directly toward it, the umbrella seemed to rise higher and higher into the air the farther it traveled.|Larger and larger grew the island, and although they were headed directly toward it, the umbrella seemed to rise higher and higher into the air the farther it traveled.
skyisland_04_baum_64kb_f000005|They had not journeyed ten minutes before they came directly over the island, and looking down they could see the forests and meadows far below them.|They had not journeyed ten minutes before they came directly over the island, and looking down they could see the forests and meadows far below them.
skyisland_04_baum_64kb_f000006|But the umbrella kept up its rapid flight.|But the umbrella kept up its rapid flight.
skyisland_04_baum_64kb_f000007|Hold on, there! cried captain Bill. If it ain't keerful, the ol' thing will pass by the island. I I'm sure it has passed it already, exclaimed Trot.|Hold on, there! cried captain Bill. If it ain't keerful, the ol' thing will pass by the island. I I'm sure it has passed it already, exclaimed Trot.
skyisland_04_baum_64kb_f000008|What's wrong, Button-Bright? Why don't we stop? Button-Bright seemed astonished, too.|What's wrong, Button-Bright? Why don't we stop? Button-Bright seemed astonished, too.
skyisland_04_baum_64kb_f000009|Perhaps I didn't say it right, he replied after a moment's thought.|Perhaps I didn't say it right, he replied after a moment's thought.
skyisland_04_baum_64kb_f000010|Then, looking up at the umbrella, he repeated distinctly, I said I wanted to go to Sky Island! Sky Island, don't you understand? The umbrella swept steadily along,|Then, looking up at the umbrella, he repeated distinctly, I said I wanted to go to Sky Island! Sky Island, don't you understand? The umbrella swept steadily along,
skyisland_04_baum_64kb_f000011|getting farther and farther out to sea and rising higher and higher toward the clouds.|getting farther and farther out to sea and rising higher and higher toward the clouds.
skyisland_04_baum_64kb_f000012|Mack'rel and herrings! roared captain Bill, now really frightened.|Mack'rel and herrings! roared captain Bill, now really frightened.
skyisland_04_baum_64kb_f000013|Ain't there any blamed way at all to stop her? None that I know of, said Button-Bright anxiously.|Ain't there any blamed way at all to stop her? None that I know of, said Button-Bright anxiously.
skyisland_04_baum_64kb_f000014|P'raps, said Trot after a pause during which she tried hard to think.|P'raps, said Trot after a pause during which she tried hard to think.
skyisland_04_baum_64kb_f000015|P'raps 'Sky Island' isn't the name of that island at all. Why, we know very well it ain't the name of it, yelled captain Bill from below.|P'raps 'Sky Island' isn't the name of that island at all. Why, we know very well it ain't the name of it, yelled captain Bill from below.
skyisland_04_baum_64kb_f000016|We jus' called it that because its right name is too hard to say. That's the whole trouble, then, returned Button-Bright.|We jus' called it that because its right name is too hard to say. That's the whole trouble, then, returned Button-Bright.
skyisland_04_baum_64kb_f000017|Somewhere in the world there's a real Sky Island, and having told the Magic Umbrella to take us there, it's going to do so.|Somewhere in the world there's a real Sky Island, and having told the Magic Umbrella to take us there, it's going to do so.
skyisland_04_baum_64kb_f000018|Well, I declare! gasped the sailorman. Can't we land anywhere else? Not unless you care to tumble off, said the boy. I've told the umbrella to take us to Sky Island,|Well, I declare! gasped the sailorman. Can't we land anywhere else? Not unless you care to tumble off, said the boy. I've told the umbrella to take us to Sky Island,
skyisland_04_baum_64kb_f000019|so that's the exact place we're bound for.|so that's the exact place we're bound for.
skyisland_04_baum_64kb_f000020|I'm sorry. It was your fault for giving me the wrong name. They glided along in silence for a while. The island was now far behind them, growing small in the distance.|I'm sorry. It was your fault for giving me the wrong name. They glided along in silence for a while. The island was now far behind them, growing small in the distance.
skyisland_04_baum_64kb_f000021|Where do you s'pose the real Sky Island can be? asked Trot presently.|Where do you s'pose the real Sky Island can be? asked Trot presently.
skyisland_04_baum_64kb_f000022|We can't tell anything about it until we get there, Button-Bright answered. Seems to me I've heard of the Isle of Skye, but that's over in Great Britain,|We can't tell anything about it until we get there, Button-Bright answered. Seems to me I've heard of the Isle of Skye, but that's over in Great Britain,
skyisland_04_baum_64kb_f000023|somewhere the other side of the world, and it isn't Sky Island, anyhow.|somewhere the other side of the world, and it isn't Sky Island, anyhow.
skyisland_04_baum_64kb_f000024|This miser'ble ol' umbrel is too pertic'ler, growled captain Bill. It won't let you change your mind and it goes ezzac'ly where you say.|This miser'ble ol' umbrel is too pertic'ler, growled captain Bill. It won't let you change your mind and it goes ezzac'ly where you say.
skyisland_04_baum_64kb_f000025|If it didn't, said Trot, we'd never know where we were going. We don't know now, said the sailor. One thing's certain, folks:|If it didn't, said Trot, we'd never know where we were going. We don't know now, said the sailor. One thing's certain, folks:
skyisland_04_baum_64kb_f000026|we're gett'n' a long way from home. And see how the clouds are rolling just above us, remarked the boy, who was almost as uneasy as captain Bill.|we're gett'n' a long way from home. And see how the clouds are rolling just above us, remarked the boy, who was almost as uneasy as captain Bill.
skyisland_04_baum_64kb_f000027|We're in the sky, all right, said the girl. If there could be an island up here among the clouds, I'd think it was there we're going.|We're in the sky, all right, said the girl. If there could be an island up here among the clouds, I'd think it was there we're going.
skyisland_04_baum_64kb_f000028|Couldn't there be one? asked Button-Bright. Why couldn't there be an island in the sky that would be named Sky Island? Of course not! declared captain Bill.|Couldn't there be one? asked Button-Bright. Why couldn't there be an island in the sky that would be named Sky Island? Of course not! declared captain Bill.
skyisland_04_baum_64kb_f000029|There wouldn't be anything to hold it up, you know. What's holding US up? asked Trot.|There wouldn't be anything to hold it up, you know. What's holding US up? asked Trot.
skyisland_04_baum_64kb_f000030|Magic, I guess. Then magic might hold an island in the sky. Whee-e-e! What a black cloud! It grew suddenly dark, for they were rushing through a thick cloud that rolled around them in billows.|Magic, I guess. Then magic might hold an island in the sky. Whee-e-e! What a black cloud! It grew suddenly dark, for they were rushing through a thick cloud that rolled around them in billows.
skyisland_04_baum_64kb_f000031|Trot felt little drops of moisture striking her face and knew her clothing was getting damp and soggy.|Trot felt little drops of moisture striking her face and knew her clothing was getting damp and soggy.
skyisland_04_baum_64kb_f000032|It's a rain cloud, she said to Button-Bright, and it seems like an awful big one, because it takes so long for us to pass through it.|It's a rain cloud, she said to Button-Bright, and it seems like an awful big one, because it takes so long for us to pass through it.
skyisland_04_baum_64kb_f000033|The umbrella never hesitated a moment. It made a path through the length of the heavy, black cloud at last and carried its passengers into a misty,|The umbrella never hesitated a moment. It made a path through the length of the heavy, black cloud at last and carried its passengers into a misty,
skyisland_04_baum_64kb_f000034|billowy bank of white, which seemed as soft and fleecy as a lady's veil.|billowy bank of white, which seemed as soft and fleecy as a lady's veil.
skyisland_04_baum_64kb_f000035|When this broke away, they caught sight of a majestic rainbow spanning the heavens, its gorgeous colors glinting brightly in the sun, its arch perfect and unbroken from end to end.|When this broke away, they caught sight of a majestic rainbow spanning the heavens, its gorgeous colors glinting brightly in the sun, its arch perfect and unbroken from end to end.
skyisland_04_baum_64kb_f000036|But it was only a glimpse they had, for quickly they dove into another bank of clouds and the rainbow disappeared.|But it was only a glimpse they had, for quickly they dove into another bank of clouds and the rainbow disappeared.
skyisland_04_baum_64kb_f000037|Here the clouds were not black, nor heavy, but they assumed queer shapes. Some were like huge ships, some like forest trees, and others piled themselves into semblances of turreted castles and wonderful palaces.|Here the clouds were not black, nor heavy, but they assumed queer shapes. Some were like huge ships, some like forest trees, and others piled themselves into semblances of turreted castles and wonderful palaces.
skyisland_04_baum_64kb_f000038|The shapes shifted here and there continually, and the voyagers began to be bewildered by the phantoms.|The shapes shifted here and there continually, and the voyagers began to be bewildered by the phantoms.
skyisland_04_baum_64kb_f000039|Seems to me we're goin' down, called Trot.|Seems to me we're goin' down, called Trot.
skyisland_04_baum_64kb_f000040|Down where? asked captain Bill.|Down where? asked captain Bill.
skyisland_04_baum_64kb_f000041|Who knows? said Button-Bright. But we're dropping, all right. It was a gradual descent. The Magic Umbrella maintained a uniform speed, swift and unfaltering,|Who knows? said Button-Bright. But we're dropping, all right. It was a gradual descent. The Magic Umbrella maintained a uniform speed, swift and unfaltering,
skyisland_04_baum_64kb_f000042|but its path through the heavens was now in the shape of an arch, as a flying arrow falls.|but its path through the heavens was now in the shape of an arch, as a flying arrow falls.
skyisland_04_baum_64kb_f000043|The queer shapes of the clouds continued for some time, and once or twice Trot was a little frightened when a monstrous airy dragon passed beside them or a huge giant stood upon a peak of cloud and stared savagely at the intruders into his domain.|The queer shapes of the clouds continued for some time, and once or twice Trot was a little frightened when a monstrous airy dragon passed beside them or a huge giant stood upon a peak of cloud and stared savagely at the intruders into his domain.
skyisland_04_baum_64kb_f000044|But none of these fanciful, vapory creatures seemed inclined to molest them or to interfere with their flight, and after a while the umbrella dipped below this queer cloudland and entered a clear space where the sky was of an exquisite blue color.|But none of these fanciful, vapory creatures seemed inclined to molest them or to interfere with their flight, and after a while the umbrella dipped below this queer cloudland and entered a clear space where the sky was of an exquisite blue color.
skyisland_04_baum_64kb_f000045|Oh, look! called captain Bill. There's land below us. The boy and girl leaned over and tried to see this land, but captain Bill was also leaning over,|Oh, look! called captain Bill. There's land below us. The boy and girl leaned over and tried to see this land, but captain Bill was also leaning over,
skyisland_04_baum_64kb_f000046|and his big body hid all that was just underneath them.|and his big body hid all that was just underneath them.
skyisland_04_baum_64kb_f000047|Is it an island? asked Trot solemnly.|Is it an island? asked Trot solemnly.
skyisland_04_baum_64kb_f000048|Seems so, the old sailor replied. The blue is around all one side of it and a pink sunshine around the other side. There's a big cloud just over the middle,|Seems so, the old sailor replied. The blue is around all one side of it and a pink sunshine around the other side. There's a big cloud just over the middle,
skyisland_04_baum_64kb_f000049|but I guess it's surely an island, Trot, and bein' as it's in the sky, it's likely to be Sky Island.|but I guess it's surely an island, Trot, and bein' as it's in the sky, it's likely to be Sky Island.
skyisland_04_baum_64kb_f000050|Then we shall land there, said the boy confidently. I knew the umbrella wouldn't make a mistake. Presently captain Bill spoke again.|Then we shall land there, said the boy confidently. I knew the umbrella wouldn't make a mistake. Presently captain Bill spoke again.
skyisland_04_baum_64kb_f000051|We're goin' down on the blue part o' the island, he said. I can see trees and ponds and houses. Hold tight, Trot! Hold tight, Butt'n-Bright! I'm afeared we're a'goin' to bump somethin'!|We're goin' down on the blue part o' the island, he said. I can see trees and ponds and houses. Hold tight, Trot! Hold tight, Butt'n-Bright! I'm afeared we're a'goin' to bump somethin'!
skyisland_04_baum_64kb_f000052|They were certainly dropping very quickly now, and the rush of air made their eyes fill with water so that they could not see much below them.|They were certainly dropping very quickly now, and the rush of air made their eyes fill with water so that they could not see much below them.
skyisland_04_baum_64kb_f000053|Suddenly, the basket that was dangling below captain Bill struck something with a loud thud, and this was followed by a yell of anger.|Suddenly, the basket that was dangling below captain Bill struck something with a loud thud, and this was followed by a yell of anger.
skyisland_04_baum_64kb_f000054|captain Bill sat flat upon the ground, landing with such a force that jarred the sailorman and made his teeth click together, while down upon him came the seat that Trot and Button-Bright occupied,|captain Bill sat flat upon the ground, landing with such a force that jarred the sailorman and made his teeth click together, while down upon him came the seat that Trot and Button-Bright occupied,
skyisland_04_baum_64kb_f000055|so that for a moment they were all tangled up.|so that for a moment they were all tangled up.
skyisland_04_baum_64kb_f000056|Get off from me! Get off from my feet, I say! cried an excited voice.|Get off from me! Get off from my feet, I say! cried an excited voice.
skyisland_04_baum_64kb_f000057|What in the Sky do you mean by sitting on my feet? Get off! Get off at once! End of chapter 4.|What in the Sky do you mean by sitting on my feet? Get off! Get off at once! End of chapter four.
skyisland_05_baum_64kb_f000001|This is there librivox recording. All librivox recordings are in the public domain. For more information or to volunteer please visit librivox dot org.|This is there librivox recording. All librivox recordings are in the public domain. For more information or to volunteer please visit librivox dot org.
skyisland_05_baum_64kb_f000002|Sky island by L Frank Baum. Chapter 5 THE BOOLOOROO OF THE BLUES. captain Bill suspected that these remarks were addressed to him, but he couldn't move just then because the seat was across him,|Sky island by L Frank Baum. Chapter five THE BOOLOOROO OF THE BLUES. captain Bill suspected that these remarks were addressed to him, but he couldn't move just then because the seat was across him,
skyisland_05_baum_64kb_f000003|and a boy and girl were sprawling on the seat.|and a boy and girl were sprawling on the seat.
skyisland_05_baum_64kb_f000004|As the Magic Umbrella was now as motionless as any ordinary umbrella might be, Button-Bright first released the catch and closed it up, after which he unhooked the crooked handle from the rope and rose to his feet.|As the Magic Umbrella was now as motionless as any ordinary umbrella might be, Button-Bright first released the catch and closed it up, after which he unhooked the crooked handle from the rope and rose to his feet.
skyisland_05_baum_64kb_f000005|Trot had managed by this time to stand up, and she pulled the board off from captain Bill.|Trot had managed by this time to stand up, and she pulled the board off from captain Bill.
skyisland_05_baum_64kb_f000006|All this time the shrill, excited voice was loudly complaining because the sailor was on his feet, and Trot looked to see who was making the protest,|All this time the shrill, excited voice was loudly complaining because the sailor was on his feet, and Trot looked to see who was making the protest,
skyisland_05_baum_64kb_f000007|while captain Bill rolled over and got on his hands and knees so he could pull his meat leg and his wooden leg into an upright position, which wasn't a very easy thing to do.|while captain Bill rolled over and got on his hands and knees so he could pull his meat leg and his wooden leg into an upright position, which wasn't a very easy thing to do.
skyisland_05_baum_64kb_f000008|Button-Bright and Trot were staring with all their might at the queerest person they had ever seen. They decided it must be a man because he had two long legs,|Button-Bright and Trot were staring with all their might at the queerest person they had ever seen. They decided it must be a man because he had two long legs,
skyisland_05_baum_64kb_f000009|a body as round as a ball, a neck like an ostrich, and a comical little head set on the top of it.|a body as round as a ball, a neck like an ostrich, and a comical little head set on the top of it.
skyisland_05_baum_64kb_f000010|But the most curious thing about him was his skin, which was of a lovely sky-blue tint. His eyes were also sky-blue, and his hair, which was trained straight up and ended in a curl at the top of his head,|But the most curious thing about him was his skin, which was of a lovely sky-blue tint. His eyes were also sky-blue, and his hair, which was trained straight up and ended in a curl at the top of his head,
skyisland_05_baum_64kb_f000011|was likewise blue in color and matched his skin and his eyes.|was likewise blue in color and matched his skin and his eyes.
skyisland_05_baum_64kb_f000012|He wore tight-fitting clothes made of sky-blue silk, with a broad blue ruffle around his long neck, and on his breast glittered a magnificent jewel in the form of a star,|He wore tight-fitting clothes made of sky-blue silk, with a broad blue ruffle around his long neck, and on his breast glittered a magnificent jewel in the form of a star,
skyisland_05_baum_64kb_f000013|set with splendid blue stones.|set with splendid blue stones.
skyisland_05_baum_64kb_f000014|If the blue man astonished the travelers, they were no less surprised by his surroundings, for look where they might, everything they beheld was of the same blue color as the sky above.|If the blue man astonished the travelers, they were no less surprised by his surroundings, for look where they might, everything they beheld was of the same blue color as the sky above.
skyisland_05_baum_64kb_f000015|They seemed to have landed in a large garden, surrounded by a high wall of blue stone. The trees were all blue, the grass was blue, the flowers were blue,|They seemed to have landed in a large garden, surrounded by a high wall of blue stone. The trees were all blue, the grass was blue, the flowers were blue,
skyisland_05_baum_64kb_f000016|and even the pebbles in the paths were blue.|and even the pebbles in the paths were blue.
skyisland_05_baum_64kb_f000017|There were many handsomely carved benches and seats of blue wood scattered about the garden, and near them stood a fountain made of blue marble,|There were many handsomely carved benches and seats of blue wood scattered about the garden, and near them stood a fountain made of blue marble,
skyisland_05_baum_64kb_f000018|which shot lovely sprays of blue water into the blue air.|which shot lovely sprays of blue water into the blue air.
skyisland_05_baum_64kb_f000019|But the angry inhabitants of this blue place would not permit them to look around them in peace, for as soon as captain Bill rolled off his toes,|But the angry inhabitants of this blue place would not permit them to look around them in peace, for as soon as captain Bill rolled off his toes,
skyisland_05_baum_64kb_f000020|he began dancing around in an excited way and saying very disrespectful things of his visitors.|he began dancing around in an excited way and saying very disrespectful things of his visitors.
skyisland_05_baum_64kb_f000021|You brutes! You apes! You miserable, white-skinned creatures! How dare you come into my garden and knock me on the head with that awful basket and then fall on my toes and cause me pain and suffering?|You brutes! You apes! You miserable, white-skinned creatures! How dare you come into my garden and knock me on the head with that awful basket and then fall on my toes and cause me pain and suffering?
skyisland_05_baum_64kb_f000022|How dare you, I say? Don't you know you will be punished for your impudence? Don't you know the Boolooroo of the Blues will have revenge? I can have you patched for this insult,|How dare you, I say? Don't you know you will be punished for your impudence? Don't you know the Boolooroo of the Blues will have revenge? I can have you patched for this insult,
skyisland_05_baum_64kb_f000023|and I will just as sure as I'm the Royal Boolooroo of Sky Island!|and I will just as sure as I'm the Royal Boolooroo of Sky Island!
skyisland_05_baum_64kb_f000024|Oh, is this Sky Island, then? asked Trot.|Oh, is this Sky Island, then? asked Trot.
