hunters_space_01_f000001|HUNTERS OUT OF SPACE By JOSEPH E KELLEAM.|HUNTERS OUT OF SPACE By JOSEPH E KELLEAM.
hunters_space_05_f000048|Gunnar, dripping water, and with a towel wrapped around his middle, came dashing into the room. He stood there, his arms and shoulders flexed.|Gunnar, dripping water, and with a towel wrapped around his middle, came dashing into the room. He stood there, his arms and shoulders flexed.
hunters_space_05_f000049|And does Gunnar look too old to fight? he asked.|And does Gunnar look too old to fight? he asked.
hunters_space_05_f000050|Odin blinked. Gunnar's muscular development had always amazed him. The short man stood an inch less than five feet. His chest and shoulders must have measured more than that, his muscles writhed like iron snakes as he moved.|Odin blinked. Gunnar's muscular development had always amazed him. The short man stood an inch less than five feet. His chest and shoulders must have measured more than that, his muscles writhed like iron snakes as he moved.
hunters_space_05_f000051|His biceps and forearms were those of a smith which indeed Gunnar had been, for Gunnar had been many things. The huge torso slanted down to narrow waist and hips.|His biceps and forearms were those of a smith which indeed Gunnar had been, for Gunnar had been many things. The huge torso slanted down to narrow waist and hips.
hunters_space_05_f000052|Then his short legs propped him up like carved things of oak. Gunnar had once killed a bull with one blow of his fist.|Then his short legs propped him up like carved things of oak. Gunnar had once killed a bull with one blow of his fist.
hunters_space_05_f000053|He had once snapped a man's back across those bulging, stubby thighs.|He had once snapped a man's back across those bulging, stubby thighs.
hunters_space_05_f000054|Gunnar disappeared in search of fresh clothing. Odin lay there, thinking of all the things he had seen since returning to Opal.|Gunnar disappeared in search of fresh clothing. Odin lay there, thinking of all the things he had seen since returning to Opal.
hunters_space_05_f000055|Although the water level was still high up on the Tower, the lower floors had been made water-tight and had been pumped dry.|Although the water level was still high up on the Tower, the lower floors had been made water-tight and had been pumped dry.
hunters_space_05_f000056|On his first trip to the Tower, Odin had little chance to survey the rooms. Now he knew something of what Opal had lost. Curtains, paintings, rugs, statues, the finest furniture.|On his first trip to the Tower, Odin had little chance to survey the rooms. Now he knew something of what Opal had lost. Curtains, paintings, rugs, statues, the finest furniture.
hunters_space_05_f000057|All these had been ruined or damaged by the flood. Each room of the Tower had been a work of art. Both Brons and Neeblings had contributed to it,|All these had been ruined or damaged by the flood. Each room of the Tower had been a work of art. Both Brons and Neeblings had contributed to it,
hunters_space_05_f000058|back in the days when they were working shoulder to shoulder.|back in the days when they were working shoulder to shoulder.
hunters_space_05_f000059|In spite of his thoughts for Maya, he could not help thinking that the Brons had brought this on themselves. When they tried to put the Neeblings in second place, that was when the bell had sounded.|In spite of his thoughts for Maya, he could not help thinking that the Brons had brought this on themselves. When they tried to put the Neeblings in second place, that was when the bell had sounded.
hunters_space_05_f000060|Even so, why had this splendor been reduced to ruin? Oh, there were jewels that could be salvaged. And statues. But the Tower was a work of art from top to bottom.|Even so, why had this splendor been reduced to ruin? Oh, there were jewels that could be salvaged. And statues. But the Tower was a work of art from top to bottom.
hunters_space_05_f000061|The finest lace. China as thin as paper. Paintings. These were gone. One might as well salvage Mona Lisa's eyes and swear that they were the original.|The finest lace. China as thin as paper. Paintings. These were gone. One might as well salvage Mona Lisa's eyes and swear that they were the original.
hunters_space_05_f000062|Higher up, where the water had not reached, the machines had been stored along with other treasures. But Opal's best had been water-logged.|Higher up, where the water had not reached, the machines had been stored along with other treasures. But Opal's best had been water-logged.
hunters_space_05_f000063|And the trip that Odin had made with Wolden into the tunnel. That was the most heart-breaking of all. The Brons and the Neeblings had saved the treasures from the warring civilizations of the world above.|And the trip that Odin had made with Wolden into the tunnel. That was the most heart-breaking of all. The Brons and the Neeblings had saved the treasures from the warring civilizations of the world above.
hunters_space_05_f000064|The statues could be preserved. Some of the machines might possibly be restored. But the paintings, the art, and the books.|The statues could be preserved. Some of the machines might possibly be restored. But the paintings, the art, and the books.
hunters_space_05_f000065|All gone. Wolden especially mourned a Navajo sand-painting, which he compared to Goya. Not a trace was left of it.|All gone. Wolden especially mourned a Navajo sand-painting, which he compared to Goya. Not a trace was left of it.
hunters_space_05_f000066|Wolden had taken him into the tunnel, just as he had once before. It was dripping now, and the sound of the pumps throbbed through the ruins like the struggling heart of a wounded thing.|Wolden had taken him into the tunnel, just as he had once before. It was dripping now, and the sound of the pumps throbbed through the ruins like the struggling heart of a wounded thing.
hunters_space_05_f000067|Their little car moved slowly down the old tracks. Occasionally it had to stop, where some disintegrating pile of treasures had spilled out.|Their little car moved slowly down the old tracks. Occasionally it had to stop, where some disintegrating pile of treasures had spilled out.
hunters_space_05_f000068|One sack of diamonds had broken. Wolden stopped and kicked the stones away. An ancient Ford, with its back seat piled high with rotting and sprouting sacks of prize-winning oat seed,|One sack of diamonds had broken. Wolden stopped and kicked the stones away. An ancient Ford, with its back seat piled high with rotting and sprouting sacks of prize-winning oat seed,
hunters_space_05_f000069|was both heart-breaking and ludicrous.|was both heart-breaking and ludicrous.
hunters_space_05_f000070|The Brons and the Neeblings had been the true antiquarians of the world.|The Brons and the Neeblings had been the true antiquarians of the world.
hunters_space_05_f000071|And they had taken centuries to gather their collection. A dinosaur skeleton stared at them. The salvaged carved prow of a galleon leaned against a gaping whale's jaw.|And they had taken centuries to gather their collection. A dinosaur skeleton stared at them. The salvaged carved prow of a galleon leaned against a gaping whale's jaw.
hunters_space_05_f000072|A model of the first atomic pile supported a score of leaning spears, but the feathers and artwork on those spears were now stains and shreds.|A model of the first atomic pile supported a score of leaning spears, but the feathers and artwork on those spears were now stains and shreds.
hunters_space_05_f000073|An English flag, delicately embroidered, drooped beside the dripping tatters of the Confederacy. A Roman eagle was lifted high beside the crudely beautiful banner of the Choctaws on which Odin could barely make out the three arrows and the unstrung bow.|An English flag, delicately embroidered, drooped beside the dripping tatters of the Confederacy. A Roman eagle was lifted high beside the crudely beautiful banner of the Choctaws on which Odin could barely make out the three arrows and the unstrung bow.
hunters_space_05_f000074|Chinese vases, thin as egg shells, most of them broken, lay in a tumbled pile beside ancient cradles and spinning wheels.|Chinese vases, thin as egg shells, most of them broken, lay in a tumbled pile beside ancient cradles and spinning wheels.
hunters_space_05_f000075|A Neanderthal skull was staring hungrily at a twelve foot skeleton of a giant bird. And a restoration of a tiny little equus was looking up like an inquisitive mouse at a huge ruined painting by Rosa Bonheur.|A Neanderthal skull was staring hungrily at a twelve foot skeleton of a giant bird. And a restoration of a tiny little equus was looking up like an inquisitive mouse at a huge ruined painting by Rosa Bonheur.
hunters_space_05_f000076|Thousands upon thousands of relics of the world above some taken from the jetsam of the sea and others taken by exploring parties from Opal during those long glad years when the inner-world was as comfortable as Eden and almost as happy.|Thousands upon thousands of relics of the world above some taken from the jetsam of the sea and others taken by exploring parties from Opal during those long glad years when the inner-world was as comfortable as Eden and almost as happy.
hunters_space_05_f000077|Gems by the millions, gold and silver coins, trappings inlaid with diamonds, furs, silks, bone instruments and ivory carvings.|Gems by the millions, gold and silver coins, trappings inlaid with diamonds, furs, silks, bone instruments and ivory carvings.
hunters_space_05_f000078|A Stradivarius was warping apart, and a Gutenberg was swollen to twice its size, its moldy pages curling away from the parent-book.|A Stradivarius was warping apart, and a Gutenberg was swollen to twice its size, its moldy pages curling away from the parent-book.
hunters_space_05_f000079|The books had fared worse. Great stacks of leather-covered libraries were turning into moldy, starchy mounds. Papyrus and lambskin scrolls were falling apart.|The books had fared worse. Great stacks of leather-covered libraries were turning into moldy, starchy mounds. Papyrus and lambskin scrolls were falling apart.
hunters_space_05_f000080|Once, when they stopped for Wolden to thrust some moldy folds of Hindu thread-of-gold weaving from their path, Odin stopped and picked up the cover of a book.|Once, when they stopped for Wolden to thrust some moldy folds of Hindu thread-of-gold weaving from their path, Odin stopped and picked up the cover of a book.
hunters_space_05_f000081|It was soggy and faded. But he could make out the title:|It was soggy and faded. But he could make out the title:
hunters_space_05_f000082|Poems by a Bostonian.|Poems by a Bostonian.
hunters_space_05_f000083|So they had gone on, but slower now than on their first journey into the tunnel which led to the floor of the Gulf. An odor of dankness and decay hung over everything.|So they had gone on, but slower now than on their first journey into the tunnel which led to the floor of the Gulf. An odor of dankness and decay hung over everything.
hunters_space_05_f000084|The air was cold and damp. And everywhere were the footprints and handprints of Death who had spared this galley for so long, but who had come back with his flashing scythe to claim his own.|The air was cold and damp. And everywhere were the footprints and handprints of Death who had spared this galley for so long, but who had come back with his flashing scythe to claim his own.
hunters_space_05_f000085|The stinking carcass of a hammer head shark, washed in by the flood, lay sprawled across the sodden sarcophagus of an Egyptian princess.|The stinking carcass of a hammer head shark, washed in by the flood, lay sprawled across the sodden sarcophagus of an Egyptian princess.
hunters_space_05_f000086|And a gloomy sickness fell upon Jack Odin there in the tunnel as he thought of all the splendor that had died here, and the ages and ages of sweat and blood that had gone into these treasures.|And a gloomy sickness fell upon Jack Odin there in the tunnel as he thought of all the splendor that had died here, and the ages and ages of sweat and blood that had gone into these treasures.
hunters_space_05_f000087|A thousand, thousand treasures were trying to whisper their stories to him, but the dripping water was drowning them out.|A thousand, thousand treasures were trying to whisper their stories to him, but the dripping water was drowning them out.
hunters_space_05_f000088|Thousands of men, some slaves and some kings, were trying to tell him what the jewels and books, and swords and cradles had meant to them but the drip-drip-drip of the water choked the echoes of their voices.|Thousands of men, some slaves and some kings, were trying to tell him what the jewels and books, and swords and cradles had meant to them but the drip-drip-drip of the water choked the echoes of their voices.
hunters_space_05_f000089|The darkness that was ever crowding in seemed to be filled with the shadows of beautiful women in fine laces, with flashing jewels about their throats, and pendants brushing their half-covered breasts.|The darkness that was ever crowding in seemed to be filled with the shadows of beautiful women in fine laces, with flashing jewels about their throats, and pendants brushing their half-covered breasts.
hunters_space_05_f000090|They were trying to smile out of the dark, but a cold fog was creeping from the walls of the tunnel, settling about the shadows, and driving them back,|They were trying to smile out of the dark, but a cold fog was creeping from the walls of the tunnel, settling about the shadows, and driving them back,
hunters_space_05_f000091|farther and farther into all pervading nothingness.|farther and farther into all pervading nothingness.
hunters_space_05_f000092|Seeing his misery, Gunnar had clutched Odin's arm. These were things of the past, Nors-King, and the things of the past belong to the old dragon.|Seeing his misery, Gunnar had clutched Odin's arm. These were things of the past, Nors-King, and the things of the past belong to the old dragon.
hunters_space_05_f000093|Let us not complain if he has taken them at last. We have things to do and we cannot do them if we are sick at heart. Did I tell you that four of my children died in the flood?|Let us not complain if he has taken them at last. We have things to do and we cannot do them if we are sick at heart. Did I tell you that four of my children died in the flood?
hunters_space_05_f000094|The voice of the broad-shouldered dwarf sounded husky and far away.|The voice of the broad-shouldered dwarf sounded husky and far away.
hunters_space_05_f000095|No, Gunnar. You never told me. Indeed, old friend, I am sorry. Very sorry. And ashamed that I sit here mourning the past and forgetting your troubles.|No, Gunnar. You never told me. Indeed, old friend, I am sorry. Very sorry. And ashamed that I sit here mourning the past and forgetting your troubles.
hunters_space_05_f000096|Yes. They died. My Freida and the other three are coming here. And we will eat at the same table again and I will tell them that their grand-sire and their great-grand-sires were men among men.|Yes. They died. My Freida and the other three are coming here. And we will eat at the same table again and I will tell them that their grand-sire and their great-grand-sires were men among men.
hunters_space_05_f000097|And that Gunnar himself has often sat high at the councils. Then we will go out to find Grim Hagen and Freida and the three will go back to rebuild the farm.|And that Gunnar himself has often sat high at the councils. Then we will go out to find Grim Hagen and Freida and the three will go back to rebuild the farm.
hunters_space_05_f000098|For that is the way of things and as long as there are strong ones left to rebuild, Loki cannot altogether destroy us.|For that is the way of things and as long as there are strong ones left to rebuild, Loki cannot altogether destroy us.
hunters_space_05_f000099|The car moved slowly forward. The dismal fog grew heavier. Until at last they came to the place where the Old Ship had stood.|The car moved slowly forward. The dismal fog grew heavier. Until at last they came to the place where the Old Ship had stood.
hunters_space_05_f000100|Now there was a new ship taking form within its huge cradles. Lights were everywhere. The red lights of the forge. The blue lights of the welding torches, the white light of the workbenches.|Now there was a new ship taking form within its huge cradles. Lights were everywhere. The red lights of the forge. The blue lights of the welding torches, the white light of the workbenches.
hunters_space_05_f000101|The yellow lights that surrounded the high scaffolds went up and up to the top of the hour-glass figure.|The yellow lights that surrounded the high scaffolds went up and up to the top of the hour-glass figure.
hunters_space_05_f000102|This is our second, Wolden explained. Our first was much smaller.|This is our second, Wolden explained. Our first was much smaller.
hunters_space_05_f000103|We had been working on a smaller model long before Grim Hagen got ambitious. Some of our scientists have already gone into space.|We had been working on a smaller model long before Grim Hagen got ambitious. Some of our scientists have already gone into space.
hunters_space_05_f000104|We are in touch with them. They went quietly and noiselessly. There was no need for all the destruction and havoc that Grim Hagen worked.|We are in touch with them. They went quietly and noiselessly. There was no need for all the destruction and havoc that Grim Hagen worked.
hunters_space_05_f000105|But this model is larger even than the Old Ship, and all the improvements that we once dreamed of are here. You see, Odin, Wolden continued, the Old Ship was ours for centuries.|But this model is larger even than the Old Ship, and all the improvements that we once dreamed of are here. You see, Odin, Wolden continued, the Old Ship was ours for centuries.
hunters_space_05_f000106|We of Orthe-Gard have exploring minds. We went over the ship thousands of times. We knew where every bolt and pin was located.|We of Orthe-Gard have exploring minds. We went over the ship thousands of times. We knew where every bolt and pin was located.
hunters_space_05_f000107|We improved it. In the beginning, when it brought our ancestors here, it must have been comparatively slow. But during the past forty years we learned much from your scientists about space.|We improved it. In the beginning, when it brought our ancestors here, it must have been comparatively slow. But during the past forty years we learned much from your scientists about space.
hunters_space_05_f000108|Einstein was the only thinker in a century gone mad from bickering. About ten years ago we perfected what I call The Fourth Drive.|Einstein was the only thinker in a century gone mad from bickering. About ten years ago we perfected what I call The Fourth Drive.
hunters_space_05_f000109|It would take days to explain it, but it can throw a ship into Trans-Einsteinian Space. We had equipped the Old Ship with the new invention.|It would take days to explain it, but it can throw a ship into Trans-Einsteinian Space. We had equipped the Old Ship with the new invention.
hunters_space_05_f000110|Our experimental ship was so equipped. And this newer, larger one will also have The Fourth Drive.|Our experimental ship was so equipped. And this newer, larger one will also have The Fourth Drive.
hunters_space_05_f000111|But we have made a few improvements at the last.|But we have made a few improvements at the last.
hunters_space_05_f000112|It was all too deep for Odin. And there was so much to see that he did not ask any questions.|It was all too deep for Odin. And there was so much to see that he did not ask any questions.
hunters_space_05_f000113|Workers and smiths were everywhere. They crawled over the scaffolding like ants. They hammered and pounded at the framework.|Workers and smiths were everywhere. They crawled over the scaffolding like ants. They hammered and pounded at the framework.
hunters_space_05_f000114|They were bent over the furnaces and the anvils. The presses and the shapers were pounding away.|They were bent over the furnaces and the anvils. The presses and the shapers were pounding away.
hunters_space_05_f000115|Never before had Jack Odin seen so much activity in Opal.|Never before had Jack Odin seen so much activity in Opal.
hunters_space_05_f000116|We are wrecking our buildings for this ship, Wolden mourned. Given time, my experiments would have made worlds and space unnecessary.|We are wrecking our buildings for this ship, Wolden mourned. Given time, my experiments would have made worlds and space unnecessary.
hunters_space_05_f000117|But it has been voted that we go after Maya and punish Grim Hagen, even though we drive to the edge of space. So be it. We are now building in weeks what it would once have taken years to do.|But it has been voted that we go after Maya and punish Grim Hagen, even though we drive to the edge of space. So be it. We are now building in weeks what it would once have taken years to do.
hunters_space_05_f000118|Those on our experimental ship who have already gone out into space, they have helped us immensely. Daily they report the results of their tests to us.|Those on our experimental ship who have already gone out into space, they have helped us immensely. Daily they report the results of their tests to us.
hunters_space_05_f000119|The good points the bad ones the improvements. Oh, when this is finished it will be a greater ship than we ever dreamed of.|The good points the bad ones the improvements. Oh, when this is finished it will be a greater ship than we ever dreamed of.
hunters_space_05_f000120|I did dream of such a ship when I was young. But now I find that I do not want it. Even so, I will go out among the stars. Wolden was never a coward, nor his fathers before him.|I did dream of such a ship when I was young. But now I find that I do not want it. Even so, I will go out among the stars. Wolden was never a coward, nor his fathers before him.
hunters_space_05_f000121|So be it, Odin answered and he leaned his head back and looked high up at the scaffolding where the welders' torches flashed like stars.|So be it, Odin answered and he leaned his head back and looked high up at the scaffolding where the welders' torches flashed like stars.
hunters_space_05_f000122|So be it, Wolden. But I would have gone anyway.|So be it, Wolden. But I would have gone anyway.
hunters_space_05_f000123|And Gunnar spoke: I would have gone beside you. My sword is thirsty.|And Gunnar spoke: I would have gone beside you. My sword is thirsty.
hunters_space_05_f000124|High up on the hour-glass shape a bit of magnesium caught fire and burned brilliantly for a second, its sparks flashing out and down.|High up on the hour-glass shape a bit of magnesium caught fire and burned brilliantly for a second, its sparks flashing out and down.
hunters_space_05_f000125|A worker, who was no more than a shadow, smothered the flame.|A worker, who was no more than a shadow, smothered the flame.
hunters_space_05_f000126|The sparks drifted downward like lost suns seeking a course that they could find no more. They sparkled and burned. Then they winked out, and there was nothing left upon the scaffolding but lancing flames and scurrying shadows.|The sparks drifted downward like lost suns seeking a course that they could find no more. They sparkled and burned. Then they winked out, and there was nothing left upon the scaffolding but lancing flames and scurrying shadows.
hunters_space_05_f000127|All about them now, the smiths were beating out old chanteys on the ancient anvils and the newer, clashing machines.|All about them now, the smiths were beating out old chanteys on the ancient anvils and the newer, clashing machines.
hunters_space_05_f000128|End of chapter 5.|End of chapter five.
hunters_space_06_f000001|Chapter 6 of hunters out of space. This librivox recording is in public domain. Recording by Elliot Miller. Hunters out of space by Joseph E Kelleam.|Chapter six of hunters out of space. This librivox recording is in public domain. Recording by Elliot Miller. Hunters out of space by Joseph E Kelleam.
hunters_space_06_f000002|Chapter 6.|Chapter six.
hunters_space_06_f000003|In the days that followed there was no time for rest. Thanks to the smaller prototype which had already gone into space, no elaborate tests were required of the new ship.|In the days that followed there was no time for rest. Thanks to the smaller prototype which had already gone into space, no elaborate tests were required of the new ship.
hunters_space_06_f000004|Moreover, the scientists had taken centuries to go over the Old Ship, bolt by bolt, part by part, wire by wire.|Moreover, the scientists had taken centuries to go over the Old Ship, bolt by bolt, part by part, wire by wire.
hunters_space_06_f000005|Improvements had been made, but these had been incorporated into the little prototype which was now successfully berthed within a cavern somewhere on the moon.|Improvements had been made, but these had been incorporated into the little prototype which was now successfully berthed within a cavern somewhere on the moon.
hunters_space_06_f000006|Over thirty men and women had gone with it.|Over thirty men and women had gone with it.
hunters_space_06_f000007|Wolden was constantly in touch with them and daily growing more envious of their position.|Wolden was constantly in touch with them and daily growing more envious of their position.
hunters_space_06_f000008|Odin knew little of such matters, but he sat daily at the council table where progress reports and squawk-sheets were examined and discussed.|Odin knew little of such matters, but he sat daily at the council table where progress reports and squawk-sheets were examined and discussed.
hunters_space_06_f000009|The speed with which they were developing the new ship was amazing. There was one innovation to be noted.|The speed with which they were developing the new ship was amazing. There was one innovation to be noted.
hunters_space_06_f000010|Wolden referred to it as the Fourth Drive. Odin gathered that the Old Ship had been equipped with such a drive, but new principles and new mechanics had been added.|Wolden referred to it as the Fourth Drive. Odin gathered that the Old Ship had been equipped with such a drive, but new principles and new mechanics had been added.
hunters_space_06_f000011|Odin showed him a little book, which had been privately printed in the world above some fifteen years before. It was entitled:|Odin showed him a little book, which had been privately printed in the world above some fifteen years before. It was entitled:
hunters_space_06_f000012|Einstein and Einsteinian Space, with Conjectures upon a Trans-Einsteinian concept. Wolden said it had been written by a young refugee from the Nazis, and he doubted if over two or three copies of the manuscript were now in existence.|Einstein and Einsteinian Space, with Conjectures upon a Trans-Einsteinian concept. Wolden said it had been written by a young refugee from the Nazis, and he doubted if over two or three copies of the manuscript were now in existence.
hunters_space_06_f000013|Memories of concentration camps, poverty, and the internecine battles of the professors in a small college where the refugee was an assistant in the Physics Department,|Memories of concentration camps, poverty, and the internecine battles of the professors in a small college where the refugee was an assistant in the Physics Department,
hunters_space_06_f000014|had finally driven the poor fellow to suicide.|had finally driven the poor fellow to suicide.
hunters_space_06_f000015|He was grasping at something new, Wolden explained. His concept was only nascent. But such a mind! The book has been invaluable.|He was grasping at something new, Wolden explained. His concept was only nascent. But such a mind! The book has been invaluable.
hunters_space_06_f000016|Still, it is nothing but a starting point but such a starting point!|Still, it is nothing but a starting point but such a starting point!
hunters_space_06_f000017|Time passed. It was like working in a dream, where no sooner was one task done than another was ready. Odin ached.|Time passed. It was like working in a dream, where no sooner was one task done than another was ready. Odin ached.
hunters_space_06_f000018|His head spun with all the information that Wolden had given him the basic principles behind those machines that had gone into the ship.|His head spun with all the information that Wolden had given him the basic principles behind those machines that had gone into the ship.
hunters_space_06_f000019|Then, at last, it was finished. A young girl who reminded him of Maya was hoisted up on a scaffold to the highest bulge of the hour-glass shaped craft.|Then, at last, it was finished. A young girl who reminded him of Maya was hoisted up on a scaffold to the highest bulge of the hour-glass shaped craft.
hunters_space_06_f000020|Workers and visitors stood below by the thousands while she spoke into a tiny microphone and swung a ruby-colored bottle against the ship.|Workers and visitors stood below by the thousands while she spoke into a tiny microphone and swung a ruby-colored bottle against the ship.
hunters_space_06_f000021|You are christened The Nebula, she cried. Go out into space They had used a bottle of red wine for the christening. A shower of ruby-glass and winedrops came sprinkling down.|You are christened The Nebula, she cried. Go out into space They had used a bottle of red wine for the christening. A shower of ruby-glass and winedrops came sprinkling down.
hunters_space_06_f000022|They fell slowly like drops of blood, and the onlookers, who were by nature opposed to crowds, began to disperse.|They fell slowly like drops of blood, and the onlookers, who were by nature opposed to crowds, began to disperse.
hunters_space_06_f000023|That girl, Odin grasped Gunnar's arm Who is she?|That girl, Odin grasped Gunnar's arm Who is she?
hunters_space_06_f000024|Gunnar looked at him curiously. Her name is Nea. A distant cousin of Maya's. Also, a distant cousin to Grim Hagen.|Gunnar looked at him curiously. Her name is Nea. A distant cousin of Maya's. Also, a distant cousin to Grim Hagen.
hunters_space_06_f000025|Nothing else was said. But Odin suddenly realized that since the day he had been unwillingly carried back to the world above in the elevator he had not noticed any girl at all.|Nothing else was said. But Odin suddenly realized that since the day he had been unwillingly carried back to the world above in the elevator he had not noticed any girl at all.
hunters_space_06_f000026|That night Jack Odin could not sleep, although he had never slept more than five hours at a time since returning to Opal.|That night Jack Odin could not sleep, although he had never slept more than five hours at a time since returning to Opal.
hunters_space_06_f000027|Getting up he found a little radio and turned it to a frequency which occasionally caught some of the stations above. A hill-billy band was playing, and a comic was singing:|Getting up he found a little radio and turned it to a frequency which occasionally caught some of the stations above. A hill-billy band was playing, and a comic was singing:
hunters_space_06_f000028|So I kissed her little sister and forgot my Clementine.|So I kissed her little sister and forgot my Clementine.
hunters_space_06_f000029|He turned off the radio with a curse and finally got to sleep, and dreamed of star spaces and emerald worlds ruled by beautiful Brons girls who looked like Maya or maybe a bit like Nea.|He turned off the radio with a curse and finally got to sleep, and dreamed of star spaces and emerald worlds ruled by beautiful Brons girls who looked like Maya or maybe a bit like Nea.
hunters_space_06_f000030|Until the worlds streaked across the dark sky like comets. And Gunnar was shaking him by the arm and a streak of light was coming in at the window.|Until the worlds streaked across the dark sky like comets. And Gunnar was shaking him by the arm and a streak of light was coming in at the window.
hunters_space_06_f000031|Ho, sluggard. We start to load the ship today. How long have you waited for this? We were going to savor each moment, remember! And you lie here like a turtle in the sun.|Ho, sluggard. We start to load the ship today. How long have you waited for this? We were going to savor each moment, remember! And you lie here like a turtle in the sun.
hunters_space_06_f000032|Odin yawned. The lists are ready. Everything is packed. I, myself, have checked the lists.|Odin yawned. The lists are ready. Everything is packed. I, myself, have checked the lists.
hunters_space_06_f000033|Gunnar laughed. How much time have your people spent checking lists?|Gunnar laughed. How much time have your people spent checking lists?
hunters_space_06_f000034|You are the world's best list-checkers. And the worst. I wish we were just a handful of warriors going out for a fight. But whole families are coming along.|You are the world's best list-checkers. And the worst. I wish we were just a handful of warriors going out for a fight. But whole families are coming along.
hunters_space_06_f000035|Apparently the Brons intend to sow their seed among the stars. And with families. I'll wager that your lists are not worth a darning needle.|Apparently the Brons intend to sow their seed among the stars. And with families. I'll wager that your lists are not worth a darning needle.
hunters_space_06_f000036|Something will be left behind. A slice of some bride's wedding cake. Little Nordo's favorite toy. Papa's best pocket-knife.|Something will be left behind. A slice of some bride's wedding cake. Little Nordo's favorite toy. Papa's best pocket-knife.
hunters_space_06_f000037|Mama's button-box. The strong little man made a wry face. Bah, this is no trip for families. They want too much. They are never satisfied.|Mama's button-box. The strong little man made a wry face. Bah, this is no trip for families. They want too much. They are never satisfied.
hunters_space_06_f000038|With warriors it is much different. They can take things as they are and grumble a bit or if they grumble too much, Gunnar can slap them silly.|With warriors it is much different. They can take things as they are and grumble a bit or if they grumble too much, Gunnar can slap them silly.
hunters_space_06_f000039|But families on a trip like this. No!|But families on a trip like this. No!
hunters_space_06_f000040|Well, they're going, Odin retorted. From what I hear, you were the only one who voted against them. So you had better get ready to listen to the patter of little feet,|Well, they're going, Odin retorted. From what I hear, you were the only one who voted against them. So you had better get ready to listen to the patter of little feet,
hunters_space_06_f000041|and squalling babies, and Mamas and Papas arguing over whose idea it was to make the trip anyway.|and squalling babies, and Mamas and Papas arguing over whose idea it was to make the trip anyway.
hunters_space_06_f000042|Oh, well, it does not matter. I am not of the Brons, but I go because of a promise. Gunnar shrugged and his face appeared sad and seamed.|Oh, well, it does not matter. I am not of the Brons, but I go because of a promise. Gunnar shrugged and his face appeared sad and seamed.
hunters_space_06_f000043|My Freida and the boys will be here today. I want you to meet them. I have spent over half my days a-wandering, Jack Odin, but now I have a sick feeling inside me.|My Freida and the boys will be here today. I want you to meet them. I have spent over half my days a-wandering, Jack Odin, but now I have a sick feeling inside me.
hunters_space_06_f000044|And I think to myself if I could go back to the farm with Freida and the boys, I could work there, and die an old, old man as my father and his father did before me.|And I think to myself if I could go back to the farm with Freida and the boys, I could work there, and die an old, old man as my father and his father did before me.
hunters_space_06_f000045|But the wanderlust is heavy upon me. Freida understands. And I swore that I would go after Grim Hagen and after Maya. But this way, I die up there among the stars some day,|But the wanderlust is heavy upon me. Freida understands. And I swore that I would go after Grim Hagen and after Maya. But this way, I die up there among the stars some day,
hunters_space_06_f000046|and no one unless it be you and Maya will think of Gunnar.|and no one unless it be you and Maya will think of Gunnar.
hunters_space_06_f000047|Odin slapped his arm across Gunnar's shoulders. You are chief among the Neeblings. Stay here with your family. I will go out there to the stars, and I will always remember Gunnar.|Odin slapped his arm across Gunnar's shoulders. You are chief among the Neeblings. Stay here with your family. I will go out there to the stars, and I will always remember Gunnar.
hunters_space_06_f000048|Faith, man, you owe us nothing. The debts are ours But Gunnar shook his head. I swore by my sword. And I go.|Faith, man, you owe us nothing. The debts are ours But Gunnar shook his head. I swore by my sword. And I go.
hunters_space_06_f000049|A few hours later, they stood at the water's edge and waited for Freida and the boys. It was not long before a boat hove into sight.|A few hours later, they stood at the water's edge and waited for Freida and the boys. It was not long before a boat hove into sight.
hunters_space_06_f000050|And soon Gunnar was helping Freida and the three sons upon the landing.|And soon Gunnar was helping Freida and the three sons upon the landing.
hunters_space_06_f000051|Family meetings always made Odin ill at ease. He stood there, shuffling his feet.|Family meetings always made Odin ill at ease. He stood there, shuffling his feet.
hunters_space_06_f000052|Freida was a short, broad woman, with big breasts and broad hips. Her eyes, the palest blue, were still beautiful. Odin guessed that when she was young her face had matched her eyes.|Freida was a short, broad woman, with big breasts and broad hips. Her eyes, the palest blue, were still beautiful. Odin guessed that when she was young her face had matched her eyes.
hunters_space_06_f000053|But the face was worn and the hand that she offered him was calloused. She was dressed in linsey-woolsey, and the overalls of the three sons were also home-spun.|But the face was worn and the hand that she offered him was calloused. She was dressed in linsey-woolsey, and the overalls of the three sons were also home-spun.
hunters_space_06_f000054|The three lads, miniature copies of Gunnar, stood there solemnly. Each wore a new straw hat with a black and red band around it. They were barefooted.|The three lads, miniature copies of Gunnar, stood there solemnly. Each wore a new straw hat with a black and red band around it. They were barefooted.
hunters_space_06_f000055|Odin guessed that the hats had been bought special for the occasion.|Odin guessed that the hats had been bought special for the occasion.
hunters_space_06_f000056|For the next three days Odin was kept busy by Ato. There were a million things to go on the ship. The Brons had done a wonderful job of warehousing.|For the next three days Odin was kept busy by Ato. There were a million things to go on the ship. The Brons had done a wonderful job of warehousing.
hunters_space_06_f000057|All was packaged and tagged. A place for each box or machine was already marked and numbered on the prints of The Nebula.|All was packaged and tagged. A place for each box or machine was already marked and numbered on the prints of The Nebula.
